row_label_raw,row_label_full,col_0,Ảnh hưởng đến lợi nhuận sau thuế Triệu VND Tăng/(giảm),numeric__Ảnh hưởng đến lợi nhuận sau thuế Triệu VND Tăng/(giảm)
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,
USD (yếu đi 1%),Ngày 31 tháng 12 năm 2019 > USD (yếu đi 1%),USD (yếu đi 1%),11.778,11778.0
EUR (yếu đi 2%),Ngày 31 tháng 12 năm 2019 > EUR (yếu đi 2%),EUR (yếu đi 2%),532,532.0
XAU (mạnh lên 17%),Ngày 31 tháng 12 năm 2019 > XAU (mạnh lên 17%),XAU (mạnh lên 17%),23.339,23339.0
Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,
USD (mạnh lên 2%),Ngày 31 tháng 12 năm 2018 > USD (mạnh lên 2%),USD (mạnh lên 2%),(19.155),-19155.0
EUR (yếu đi 2%),Ngày 31 tháng 12 năm 2018 > EUR (yếu đi 2%),EUR (yếu đi 2%),12,12.0
XAU (mạnh lên 1%),Ngày 31 tháng 12 năm 2018 > XAU (mạnh lên 1%),XAU (mạnh lên 1%),1.306,1306.0
