row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2019 Triệu VND,2018 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2019 Triệu VND,numeric__2018 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,21,11.305.756,9.933.493,,21.0,11305756.0,9933493.0
2,2,2,Chi phí lãi và các chi phí tương tự,21,(8.112.954),(6.750.377),,21.0,-8112954.0,-6750377.0
I,I,I,Thu nhập lãi thuần,21,3.192.802,3.183.116,,21.0,3192802.0,3183116.0
3,3,3,Thu nhập từ hoạt động dịch vụ,22,802.038,672.739,,22.0,802038.0,672739.0
4,4,4,Chi phí hoạt động dịch vụ,22,(428.024),(336.938),,22.0,-428024.0,-336938.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,22,374.014,335.801,,22.0,374014.0,335801.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,23,364.541,269.073,,23.0,364541.0,269073.0
V,V,V,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,24,227.566,(119.860),,24.0,227566.0,-119860.0
5,5,5,Thu nhập từ hoạt động khác,25,644.447,324.827,,25.0,644447.0,324827.0
6,6,6,Chi phí hoạt động khác,25,(361.644),(100.967),,25.0,-361644.0,-100967.0
VI,VI,VI,Lãi thuần từ hoạt động khác,25,282.803,223.860,,25.0,282803.0,223860.0
VII,VII,VII,"Lãi từ góp vốn, mua cổ phần",26,4.659,519.415,,26.0,4659.0,519415.0
VIII,VIII,VIII,Chi phí hoạt động,27,(2.677.124),(2.886.895),,27.0,-2677124.0,-2886895.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.769.261,1.524.510,,,1769261.0,1524510.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,28,(690.291),(723.546),,28.0,-690291.0,-723546.0
XI,XI,XI,Tổng lợi nhuận kế toán trước thuế (mang sang trang sau),,1.078.970,800.964,,,1078970.0,800964.0
