row_label_raw,row_label_full,2019,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sảncố định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sảncố định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,483.692,742.128,253.724,46.457,612.216,2.138.217,483692.0,742128.0,253724.0,46457.0,612216.0,2138217.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,191,240,-,534,318,1.283,191.0,240.0,,534.0,318.0,1283.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,16.595,23.142,1.288,219,12.767,54.011,16595.0,23142.0,1288.0,219.0,12767.0,54011.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,528,115,(643),-,-,,528.0,115.0,-643.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(499),(664),(7.418),(33),(111.170),(119.784),-499.0,-664.0,-7418.0,-33.0,-111170.0,-119784.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,499.979,765.374,247.709,46.534,514.131,2.073.727,499979.0,765374.0,247709.0,46534.0,514131.0,2073727.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,64.866,493.068,185.847,39.562,484.785,1.268.128,64866.0,493068.0,185847.0,39562.0,484785.0,1268128.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.860,53.017,13.524,2.344,37.407,119.152,12860.0,53017.0,13524.0,2344.0,37407.0,119152.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,467,113,(580),-,-,,467.0,113.0,-580.0,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(50),(664),(7.388),(33),(107.848),(115.983),-50.0,-664.0,-7388.0,-33.0,-107848.0,-115983.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,77.676,545.888,192.096,41.293,414.344,1.271.297,77676.0,545888.0,192096.0,41293.0,414344.0,1271297.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,418.826,249.060,67.877,6.895,127.431,870.089,418826.0,249060.0,67877.0,6895.0,127431.0,870089.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,422.303,219.486,55.613,5.241,99.787,802.430,422303.0,219486.0,55613.0,5241.0,99787.0,802430.0
