row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019 > Quá hạn,Tại ngày 31 tháng 12 năm 2019 > Dưới 1 tháng,Tại ngày 31 tháng 12 năm 2019 > Từ 1 đến 3 tháng,Tại ngày 31 tháng 12 năm 2019 > Từ trên 3 đến 6 tháng,Tại ngày 31 tháng 12 năm 2019 > Từ trên 6 đến 12 tháng,Tại ngày 31 tháng 12 năm 2019 > Từ trên 1 đến 5 năm,Tại ngày 31 tháng 12 năm 2019 > Trên 5 năm,numeric__Tại ngày 31 tháng 12 năm 2019 > Quá hạn,numeric__Tại ngày 31 tháng 12 năm 2019 > Dưới 1 tháng,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ 1 đến 3 tháng,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 3 đến 6 tháng,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 6 đến 12 tháng,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 1 đến 5 năm,numeric__Tại ngày 31 tháng 12 năm 2019 > Trên 5 năm
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,-,"0,80%",-,-,-,-,-,,0.008,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,05%",-,-,-,-,-,,0.0005,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"3,26%","4,47%",-,-,-,-,,0.0326,0.0447,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"1,82%",-,-,-,-,-,,0.0182,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"11,32%","10,62%","8,73%","9,96%","10,47%","10,60%","10,77%",0.11320000000000001,0.10619999999999999,0.0873,0.09960000000000001,0.1047,0.106,0.10769999999999999
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,"5,61%","4,22%","3,95%","4,13%","4,23%",-,-,0.056100000000000004,0.042199999999999994,0.0395,0.041299999999999996,0.042300000000000004,,
