row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy,,
"Mua hàng hóa, dịch vụ","Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",66.000.000,66.000.000,66000000.0,66000000.0
"Bán hàng hóa, dịch vụ","Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy > Bán hàng hóa, dịch vụ","Bán hàng hóa, dịch vụ",-,1.200.000.000,,1200000000.0
Phân chia lợi nhuận từ hoạt động hợp tác kinh doanh,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy > Phân chia lợi nhuận từ hoạt động hợp tác kinh doanh,Phân chia lợi nhuận từ hoạt động hợp tác kinh doanh,45.846.145.739,60.153.854.261,45846145739.0,60153854261.0
Nhận tiền lãi từ hoạt động hợp tác kinh doanh,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy > Nhận tiền lãi từ hoạt động hợp tác kinh doanh,Nhận tiền lãi từ hoạt động hợp tác kinh doanh,106.000.000.000,-,106000000000.0,
Thu hồi tiền đầu tư cho hoạt động hợp tác kinh doanh,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy > Thu hồi tiền đầu tư cho hoạt động hợp tác kinh doanh,Thu hồi tiền đầu tư cho hoạt động hợp tác kinh doanh,499.706.000.000,-,499706000000.0,
Nhận cổ tức bằng tiền,Công ty Cổ phần Đầu tư Dịch vụ và Tài chính Hoàng Huy > Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,50.195.733.600,-,50195733600.0,
Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,,
Thu hồi khoản đầu tư,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp > Thu hồi khoản đầu tư,Thu hồi khoản đầu tư,-,100.000.000.000,,100000000000.0
Bà Trần Thị Hoàng Hà,Bà Trần Thị Hoàng Hà,Bà Trần Thị Hoàng Hà,Bà Trần Thị Hoàng Hà,Bà Trần Thị Hoàng Hà,,
Bán Cổ phần Công ty Cổ phần đầu tư dịch vụ Thành Nam,Bà Trần Thị Hoàng Hà > Bán Cổ phần Công ty Cổ phần đầu tư dịch vụ Thành Nam,Bán Cổ phần Công ty Cổ phần đầu tư dịch vụ Thành Nam,205.728.055.000,-,205728055000.0,
Bà Bùi Thị Trà,Bà Bùi Thị Trà,Bà Bùi Thị Trà,Bà Bùi Thị Trà,Bà Bùi Thị Trà,,
Bán Cổ phần Công ty Cổ phần đầu tư dịch vụ Thành Nam,Bà Bùi Thị Trà > Bán Cổ phần Công ty Cổ phần đầu tư dịch vụ Thành Nam,Bán Cổ phần Công ty Cổ phần đầu tư dịch vụ Thành Nam,87.369.545.000,-,87369545000.0,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,,
Nhận tiền vay,Công ty TNHH Pruksa Việt Nam > Nhận tiền vay,Nhận tiền vay,275.475.000.000,-,275475000000.0,
Trả tiền vay,Công ty TNHH Pruksa Việt Nam > Trả tiền vay,Trả tiền vay,32.000.000.000,-,32000000000.0,
Tiền lãi vay phải trả,Công ty TNHH Pruksa Việt Nam > Tiền lãi vay phải trả,Tiền lãi vay phải trả,8.374.640.273,-,8374640273.0,
Bà Đỗ Thị Huyền Trang,Bà Đỗ Thị Huyền Trang,Bà Đỗ Thị Huyền Trang,Bà Đỗ Thị Huyền Trang,Bà Đỗ Thị Huyền Trang,,
Bán Cổ phần Công ty phát triển dịch vụ Trường Giang,Bà Đỗ Thị Huyền Trang > Bán Cổ phần Công ty phát triển dịch vụ Trường Giang,Bán Cổ phần Công ty phát triển dịch vụ Trường Giang,138.027.120.000,-,138027120000.0,
Cổ phần Công ty phát triển dịch vụ Hoàng Giang,Cổ phần Công ty phát triển dịch vụ Hoàng Giang,Cổ phần Công ty phát triển dịch vụ Hoàng Giang,Cổ phần Công ty phát triển dịch vụ Hoàng Giang,Cổ phần Công ty phát triển dịch vụ Hoàng Giang,,
Nhận cổ tức bằng tiền,Cổ phần Công ty phát triển dịch vụ Hoàng Giang > Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,136.500.750.000,-,136500750000.0,
Công ty Cổ phần - Tập đoàn Bất động sản CRV,Công ty Cổ phần - Tập đoàn Bất động sản CRV,Công ty Cổ phần - Tập đoàn Bất động sản CRV,Công ty Cổ phần - Tập đoàn Bất động sản CRV,Công ty Cổ phần - Tập đoàn Bất động sản CRV,,
Góp vốn,Công ty Cổ phần - Tập đoàn Bất động sản CRV > Góp vốn,Góp vốn,2.318.340.000.000,-,2318340000000.0,
Trả cổ tức,Trả cổ tức,Trả cổ tức,Trả cổ tức,Trả cổ tức,,
Ông Đỗ Hữu Hạ,Trả cổ tức > Ông Đỗ Hữu Hạ,Ông Đỗ Hữu Hạ,5.920.000.000,-,5920000000.0,
