row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị ghi số VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị ghi số VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,91.690.000.000,91.690.000.000,807.577.048.455,807.577.048.455,91690000000.0,91690000000.0,807577048455.0,807577048455.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,91.690.000.000,91.690.000.000,807.577.048.455,807.577.048.455,91690000000.0,91690000000.0,807577048455.0,807577048455.0
Cộng,Cộng,Cộng,91.690.000.000,91.690.000.000,807.577.048.455,807.577.048.455,91690000000.0,91690000000.0,807577048455.0,807577048455.0
