row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Số cuối năm VND,Giá trị ghi sổ > Số đầu năm VND,numeric__Giá trị ghi sổ > Số cuối năm VND,numeric__Giá trị ghi sổ > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,33.391.595.439,16.483.670.555,33391595439.0,16483670555.0
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",16.451.331.459,583.495.998.024,16451331459.0,583495998024.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,91.690.000.000,807.577.048.455,91690000000.0,807577048455.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.347.372.297.286,1.452.832.297.286,3347372297286.0,1452832297286.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.488.905.224.184,2.860.389.014.320,3488905224184.0,2860389014320.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,243.475.000.000,-,243475000000.0,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,69.488.736.542,55.470.682.719,69488736542.0,55470682719.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,1.251.545.455,218.545.455,1251545455.0,218545455.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,99.085.789,77.207.727,99085789.0,77207727.0
Cộng,Công nợ tài chính > Cộng,Cộng,314.314.367.786,55.766.435.901,314314367786.0,55766435901.0
