row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Số có khả năng trả nợ VND,Số đầu năm > Giá trị VND,Số đầu năm > Số có khả năng trả nợ VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Số có khả năng trả nợ VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Số có khả năng trả nợ VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,17.719.634.220,17.719.634.220,8.392.782.169,8.392.782.169,17719634220.0,17719634220.0,8392782169.0,8392782169.0
"DongFeng Commercial Vehicle Co.,LTD","DongFeng Commercial Vehicle Co.,LTD","DongFeng Commercial Vehicle Co.,LTD",15.628.712.000,15.628.712.000,4.610.419.199,4.610.419.199,15628712000.0,15628712000.0,4610419199.0,4610419199.0
Công ty CP ô tô chuyên dùng Tuân Phương,Công ty CP ô tô chuyên dùng Tuân Phương,Công ty CP ô tô chuyên dùng Tuân Phương,771.000.000,771.000.000,2.520.000.000,2.520.000.000,771000000.0,771000000.0,2520000000.0,2520000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.319.922.220,1.319.922.220,1.262.362.970,1.262.362.970,1319922220.0,1319922220.0,1262362970.0,1262362970.0
Cộng,Cộng,Cộng,17.719.634.220,17.719.634.220,8.392.782.169,8.392.782.169,17719634220.0,17719634220.0,8392782169.0,8392782169.0
