row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,223.069.639.984,130.436.890.646,1.0,223069639984.0,130436890646.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,,,
Khấu hao tài sản cố định và BĐSDĐT,2. Điều chỉnh cho các khoản > Khấu hao tài sản cố định và BĐSDĐT,Khấu hao tài sản cố định và BĐSDĐT,02,1.510.099.151,1.493.137.200,2.0,1510099151.0,1493137200.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,2.750.436.056,3.689.585.644,3.0,2750436056.0,3689585644.0
(Lãi)/lỗ chênh lệch tỷ giá hối doái do đánh giá lại,2. Điều chỉnh cho các khoản > (Lãi)/lỗ chênh lệch tỷ giá hối doái do đánh giá lại,(Lãi)/lỗ chênh lệch tỷ giá hối doái do đánh giá lại,04,(24.710.980),(3.449.038),4.0,-24710980.0,-3449038.0
các khoản mục tiền tệ có gốc ngoại tệ,các khoản mục tiền tệ có gốc ngoại tệ,các khoản mục tiền tệ có gốc ngoại tệ,,,,,,
(Lãi)/lỗ từ hoạt động đầu tư,các khoản mục tiền tệ có gốc ngoại tệ > (Lãi)/lỗ từ hoạt động đầu tư,(Lãi)/lỗ từ hoạt động đầu tư,05,(219.019.060.057),(58.656.137.497),5.0,-219019060057.0,-58656137497.0
Chi phí lãi vay,các khoản mục tiền tệ có gốc ngoại tệ > Chi phí lãi vay,Chi phí lãi vay,06,8.374.640.273,517.580.823,6.0,8374640273.0,517580823.0
Các khoản điều chỉnh khác,các khoản mục tiền tệ có gốc ngoại tệ > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,,7.0,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,các khoản mục tiền tệ có gốc ngoại tệ > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,16.661.044.427,77.477.607.778,8.0,16661044427.0,77477607778.0
(Tăng)/giảm các khoản phải thu,các khoản mục tiền tệ có gốc ngoại tệ > (Tăng)/giảm các khoản phải thu,(Tăng)/giảm các khoản phải thu,09,582.624.383,(76.606.363.175),9.0,582624383.0,-76606363175.0
