row_label_raw,row_label_full,ST T,Tên Công ty,Địa chỉ,31/12/2024 > Giá gốc VND,31/12/2024 > Dự phòng VND,31/12/2024 > Giá trị hợp lý VND,1/1/2024 > Giá gốc VND,1/1/2024 > Dự phòng VND,1/1/2024 > Giá trị hợp lý VND,numeric__Tên Công ty,numeric__Địa chỉ,numeric__31/12/2024 > Giá gốc VND,numeric__31/12/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị hợp lý VND,numeric__1/1/2024 > Giá gốc VND,numeric__1/1/2024 > Dự phòng VND,numeric__1/1/2024 > Giá trị hợp lý VND
1,1,1,Công ty Cổ phần Hóa dầu Quân đội,Hà Nội,50.000.000.000,-,(*),50.000.000.000,-,(*),,,50000000000.0,,,50000000000.0,,
2,2,2,Công ty Cổ phần Đầu tư và Phát triển Vân Phong,Khánh Hòa,3.801.690.000,(2.099.006.273),(*),3.801.690.000,(2.099.010.293),(*),,,3801690000.0,-2099006273.0,,3801690000.0,-2099010293.0,
3,3,3,Công ty Cổ phần Xăng dầu Dầu khí Bình Thuận,Bình Thuận,1.697.125.000,-,(*),1.697.125.000,-,(*),,,1697125000.0,,,1697125000.0,,
4,4,4,Công ty Cổ phần Thương mại Tuyên Quang,Tuyên Quang,891.808.000,-,(*),891.808.000,-,(*),,,891808000.0,,,891808000.0,,
5,5,5,Tổng Công ty Xuất nhập khẩu Dịch vụ và Đầu tư Việt Nam (VICOSIMEX),Đà Nẵng,500.000.000,-,(*),500.000.000,-,(*),,,500000000.0,,,500000000.0,,
6,6,6,Công ty Cổ phần Vật liệu Xăng dầu và Chất đốt Đồng Nai,Đồng Nai,2.002.156.670,-,(*),2.002.156.670,-,(*),,,2002156670.0,,,2002156670.0,,
,,,,,58.892.779.670,(2.099.006.273),,58.892.779.670,(2.099.010.293),,,,58892779670.0,-2099006273.0,,58892779670.0,-2099010293.0,
