row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,219.338.898.318,5.860.531.000,370.091.050.763,8.505.000.000,603.795.480.081,219338898318.0,5860531000.0,370091050763.0,8505000000.0,603795480081.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,2.372.208.821,394.275.000,2.766.483.821,,,2372208821.0,394275000.0,2766483821.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,10.194.087.523,-,10.194.087.523,,,10194087523.0,,10194087523.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,(2.288.373.917),-,(2.288.373.917),,,-2288373917.0,,-2288373917.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,219.338.898.318,5.860.531.000,380.368.973.190,8.899.275.000,614.467.677.508,219338898318.0,5860531000.0,380368973190.0,8899275000.0,614467677508.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,38.377.676.605,5.678.418.348,312.530.147.635,4.923.893.231,361.510.135.819,38377676605.0,5678418348.0,312530147635.0,4923893231.0,361510135819.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,170.556.488,11.331.250.433,457.454.796,15.925.842.581,3966580864.0,170556488.0,11331250433.0,457454796.0,15925842581.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,(2.012.443.739),-,(2.012.443.739),,,-2012443739.0,,-2012443739.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,42.344.257.469,5.848.974.836,321.848.954.329,5.381.348.027,375.423.534.661,42344257469.0,5848974836.0,321848954329.0,5381348027.0,375423534661.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,180.961.221.713,182.112.652,57.560.903.128,3.581.106.769,242.285.344.262,180961221713.0,182112652.0,57560903128.0,3581106769.0,242285344262.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,176.994.640.849,11.556.164,58.520.018.861,3.517.926.973,239.044.142.847,176994640849.0,11556164.0,58520018861.0,3517926973.0,239044142847.0
