row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sãncố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sãncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.247.080.000,180.891.622.659,57.371.295.163,250.642.217.728,3.146.510.449,498.298.725.999,6247080000.0,180891622659.0,57371295163.0,250642217728.0,3146510449.0,498298725999.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.587.410.000,-,179.640.000,-,3.767.050.000,,3587410000.0,,179640000.0,,3767050000.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,-,26.023.048.369,-,10.412.796.296,-,36.435.844.665,,26023048369.0,,10412796296.0,,36435844665.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(4.884.900.000),(278.175.000),-,(5.163.075.000),,,-4884900000.0,-278175000.0,,-5163075000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.247.080.000,210.502.081.028,52.486.395.163,260.956.479.024,3.146.510.449,533.338.545.664,6247080000.0,210502081028.0,52486395163.0,260956479024.0,3146510449.0,533338545664.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.008.199.377,82.509.720.870,24.032.445.062,229.821.380.870,2.592.948.086,344.964.694.265,6008199377.0,82509720870.0,24032445062.0,229821380870.0,2592948086.0,344964694265.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,178.305.577,29.424.755.588,5.885.489.702,12.677.760.782,349.307.133,48.515.618.782,178305577.0,29424755588.0,5885489702.0,12677760782.0,349307133.0,48515618782.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(4.494.761.920),(278.175.000),-,(4.772.936.920),,,-4494761920.0,-278175000.0,,-4772936920.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.186.504.954,111.934.476.458,25.423.172.844,242.220.966.652,2.942.255.219,388.707.376.127,6186504954.0,111934476458.0,25423172844.0,242220966652.0,2942255219.0,388707376127.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,238.880.623,98.381.901.789,33.338.850.101,20.820.836.858,553.562.363,153.334.031.734,238880623.0,98381901789.0,33338850101.0,20820836858.0,553562363.0,153334031734.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,60.575.046,98.567.604.570,27.063.222.319,18.735.512.372,204.255.230,144.631.169.537,60575046.0,98567604570.0,27063222319.0,18735512372.0,204255230.0,144631169537.0
