row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2024VND,1/1/2024VND,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,
Công ty TNHH MTV Petrolimex Singapore,Công ty con cấp 1 > Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,1.273.736.468.439,1.224.203.779.458,1273736468439.0,1224203779458.0
Tổng Công ty Vận tải thủy Petrolimex,Công ty con cấp 1 > Tổng Công ty Vận tải thủy Petrolimex,Tổng Công ty Vận tải thủy Petrolimex,203.487.481.655,137.862.536.206,203487481655.0,137862536206.0
Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,Công ty con cấp 1 > Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,29.267.319.071,-,29267319071.0,
Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,,
Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,19.865.661.086,10.019.622.224,19865661086.0,10019622224.0
Công ty Cổ phần Tin học Viễn thông Petrolimex,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Tin học Viễn thông Petrolimex,Công ty Cổ phần Tin học Viễn thông Petrolimex,17.988.544.756,9.218.658.328,17988544756.0,9218658328.0
Công ty Cổ phần Vận tải Xăng dầu VITACO,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Vận tải Xăng dầu VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO,14.628.442.191,13.441.252.159,14628442191.0,13441252159.0
Công ty TNHH MTV Vitaco Sài Gòn,Công ty con cấp 2 và cấp 3 > Công ty TNHH MTV Vitaco Sài Gòn,Công ty TNHH MTV Vitaco Sài Gòn,7.065.411.391,10.002.297.023,7065411391.0,10002297023.0
Công ty Cổ phần Vận tải và Dịch Vụ Petrolimex Hải Phòng,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Vận tải và Dịch Vụ Petrolimex Hải Phòng,Công ty Cổ phần Vận tải và Dịch Vụ Petrolimex Hải Phòng,5.364.347.342,7.157.851.889,5364347342.0,7157851889.0
Công ty Cổ phần Thiết bị Xăng dầu Petrolimex,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Thiết bị Xăng dầu Petrolimex,Công ty Cổ phần Thiết bị Xăng dầu Petrolimex,1.681.551.200,-,1681551200.0,
Các công ty khác,Công ty con cấp 2 và cấp 3 > Các công ty khác,Các công ty khác,84.643.005,79.200.020,84643005.0,79200020.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Công ty liên kết > Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,19.425.656.249,22.436.454.696,19425656249.0,22436454696.0
,,,1.592.595.526.385,1.434.421.652.003,1592595526385.0,1434421652003.0
