row_label_raw,row_label_full,31/12/2024 > STT,31/12/2024 > Tên Công ty,31/12/2024 > Địa chỉ,31/12/2024 > % sở hữu,31/12/2024 > % quyền biểu quyết,31/12/2024 > Giá gốc VND,31/12/2024 > Dự phòng VND,31/12/2024 > Giá trị hợp lý VND,31/12/2024 > % sở hữu_1,31/12/2024 > % quyền biểu quyết_1,1/1/2024 > Giá gốc VND,1/1/2024 > Dự phòng VND,1/1/2024 > Giá trị hợp lý VND,numeric__31/12/2024 > Tên Công ty,numeric__31/12/2024 > Địa chỉ,numeric__31/12/2024 > % sở hữu,numeric__31/12/2024 > % quyền biểu quyết,numeric__31/12/2024 > Giá gốc VND,numeric__31/12/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị hợp lý VND,numeric__31/12/2024 > % sở hữu_1,numeric__31/12/2024 > % quyền biểu quyết_1,numeric__1/1/2024 > Giá gốc VND,numeric__1/1/2024 > Dự phòng VND,numeric__1/1/2024 > Giá trị hợp lý VND
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,
1,1,1,Công ty TNHH Castrol,Hồ Chí,,,,,,,,,,,,,,,,,,,,,,
1,1 > 1,1,BP-PETCO Việt Nam,Mính,35%,35%,169.426.717.325,,-,(*),35%,35%,169.426.717.325,-,,,0.35,0.35,169426717325.0,,,,0.35,0.35,169426717325.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Tổng Công ty Cổ phầnBảo hiểm Petrolimex (i),Hà Nội,41%,41%,361.849.067.685,,-,1.035.353.198.400,41%,41%,361.849.067.685,-,,,0.41,0.41,361849067685.0,,,1035353198400.0,0.41,0.41,361849067685.0,
2,Công ty liên kết > 2,2,Công ty Cổ phần Dịch vụĐường cao tốc Việt Nam,Hà Nội,22%,22%,20.000.000.000,(7.286.666.667),,(*),22%,22%,20.000.000.000,(6.966.666.667),,,0.22,0.22,20000000000.0,-7286666667.0,,,0.22,0.22,20000000000.0,-6966666667.0
,,,,,,,551.275.785.010,(7.286.666.667),,,,,551.275.785.010,(6.966.666.667),,,,,551275785010.0,-7286666667.0,,,,,551275785010.0,-6966666667.0
