row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,10.423,208.422,11.786,230.631,10423.0,208422.0,11786.0,230631.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,-,17.244,-,17.244,,17244.0,,17244.0
Tăng khác,Nguyên giá TSCĐ vô hình: > Tăng khác,Tăng khác,79.722,423,-,80.145,79722.0,423.0,,80145.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.405),-,-,(8.405),-8405.0,,,-8405.0
Giảm khác,Nguyên giá TSCĐ vô hình: > Giảm khác,Giảm khác,(33.759),(80),-,(33.839),-33759.0,-80.0,,-33839.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,47.981,226.009,11.786,285.776,47981.0,226009.0,11786.0,285776.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,130.698,6.464,137.162,,130698.0,6464.0,137162.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,17.938,1.312,19.250,,17938.0,1312.0,19250.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,148.636,7.776,156.412,,148636.0,7776.0,156412.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày đầu năm,Giá trị còn lại: > Tại ngày đầu năm,Tại ngày đầu năm,10.423,77.724,5.322,93.469,10423.0,77724.0,5322.0,93469.0
Tại ngày cuối năm,Giá trị còn lại: > Tại ngày cuối năm,Tại ngày cuối năm,47.981,77.373,4.010,129.364,47981.0,77373.0,4010.0,129364.0
