row_label_raw,row_label_full,col_0,Quá hạn,Khôngđịnh lại lãi suất,Lãi suất được định lại trong vòng > Đến 1 tháng,Lãi suất được định lại trong vòng > Từ 1 - 3tháng,Lãi suất được định lại trong vòng > Từ 3 - 6tháng,Lãi suất được định lại trong vòng > Từ 6 - 12tháng,Lãi suất được định lại trong vòng > Từ 1 - 5 năm,Lãi suất được định lại trong vòng > Trên 5 năm,Đơn vị: Triệu đồng > Tổng,numeric__Quá hạn,numeric__Khôngđịnh lại lãi suất,numeric__Lãi suất được định lại trong vòng > Đến 1 tháng,numeric__Lãi suất được định lại trong vòng > Từ 1 - 3tháng,numeric__Lãi suất được định lại trong vòng > Từ 3 - 6tháng,numeric__Lãi suất được định lại trong vòng > Từ 6 - 12tháng,numeric__Lãi suất được định lại trong vòng > Từ 1 - 5 năm,numeric__Lãi suất được định lại trong vòng > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,855.741,-,-,-,-,-,-,855.741,,855741.0,,,,,,,855741.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.015.092,-,-,-,-,-,4.015.092,,,4015092.0,,,,,,4015092.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,9.035.136,76.900,40.000,-,-,-,9.152.036,,,9035136.0,76900.0,40000.0,,,,9152036.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,-,-,11.331,-,-,-,-,-,11.331,,,11331.0,,,,,,11331.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),2.773.429,-,19.712.645,24.205.267,6.246.922,5.661.063,1.503.650,76.607,60.179.583,2773429.0,,19712645.0,24205267.0,6246922.0,5661063.0,1503650.0,76607.0,60179583.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),250.000,2.622.495,434.309,431.267,4.355.376,3.624.927,15.201.442,2.661.650,29.581.466,250000.0,2622495.0,434309.0,431267.0,4355376.0,3624927.0,15201442.0,2661650.0,29581466.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,185.261,-,-,-,-,-,-,185.261,,185261.0,,,,,,,185261.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,394.579,-,-,-,-,-,-,394.579,,394579.0,,,,,,,394579.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,2.100.840,-,-,-,-,-,-,2.100.840,,2100840.0,,,,,,,2100840.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.023.429,6.158.916,33.208.513,24.713.434,10.642.298,9.285.990,16.705.092,2.738.257,106.475.929,3023429.0,6158916.0,33208513.0,24713434.0,10642298.0,9285990.0,16705092.0,2738257.0,106475929.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTDKhác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTDKhác,Tiền gửi của và vay từ NHNN và các TCTDKhác,-,-,22.961.116,9.521.960,778.870,45,-,-,33.261.991,,,22961116.0,9521960.0,778870.0,45.0,,,33261991.0
