row_label_raw,row_label_full,col_0,Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,Giá trị ghi số > Giữ đến ngày đáo hạn,Giá trị ghi số > Cho vay và phải thu,Giá trị ghi số > Sẵn sàng để bán,Giá trị ghi số > Tài sản hạch toán theo giá trị phân bổ,Giá trị ghi số > Tổng cộng giá trị ghi số,Đơn vị: Triệu đồng > Giá trị hợp lý,numeric__Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,numeric__Giá trị ghi số > Giữ đến ngày đáo hạn,numeric__Giá trị ghi số > Cho vay và phải thu,numeric__Giá trị ghi số > Sẵn sàng để bán,numeric__Giá trị ghi số > Tài sản hạch toán theo giá trị phân bổ,numeric__Giá trị ghi số > Tổng cộng giá trị ghi số,numeric__Đơn vị: Triệu đồng > Giá trị hợp lý
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,-,855.741,855.741,855.741,,,,,855741.0,855741.0,855741.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,-,4.015.092,4.015.092,(*),,,,,4015092.0,4015092.0,
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,9.152.036,9.152.036,(*),,,,,9152036.0,9152036.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,-,11.331,11.331,(*),,,,,11331.0,11331.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,60.179.583,-,-,60.179.583,(*),,,60179583.0,,,60179583.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,26.916.591,-,26.916.591,(*),,,,26916591.0,,26916591.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,2.664.875,-,-,-,2.664.875,(*),,2664875.0,,,,2664875.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,1.888.335,-,212.505,2.100.840,(*),,,1888335.0,,212505.0,2100840.0,
,,,-,2.664.875,62.067.918,26.916.591,14.246.705,105.896.089,(*),,2664875.0,62067918.0,26916591.0,14246705.0,105896089.0,
