row_label_raw,row_label_full,col_0,Trong nước triệu đồng,Nước ngoài triệu đồng,Tổng cộng triệu đồng,numeric__Trong nước triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản vào ngày 31 tháng 12 năm 2016,Tài sản vào ngày 31 tháng 12 năm 2016,Tài sản vào ngày 31 tháng 12 năm 2016,Tài sản vào ngày 31 tháng 12 năm 2016,Tài sản vào ngày 31 tháng 12 năm 2016,Tài sản vào ngày 31 tháng 12 năm 2016,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản vào ngày 31 tháng 12 năm 2016 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,9.061.566,90.470,9.152.036,9061566.0,90470.0,9152036.0
Các công cụ tài chính phải sinh(Tổng giả trị giao dịch theo hợp đồng),Tài sản vào ngày 31 tháng 12 năm 2016 > Các công cụ tài chính phải sinh(Tổng giả trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giả trị giao dịch theo hợp đồng),11.331,-,11.331,11331.0,,11331.0
Cho vay khách hàng,Tài sản vào ngày 31 tháng 12 năm 2016 > Cho vay khách hàng,Cho vay khách hàng,60.179.583,-,60.179.583,60179583.0,,60179583.0
Chứng khoán đầu tư,Tài sản vào ngày 31 tháng 12 năm 2016 > Chứng khoán đầu tư,Chứng khoán đầu tư,29.581.466,-,29.581.466,29581466.0,,29581466.0
"Góp vốn, đầu tư dài hạn","Tài sản vào ngày 31 tháng 12 năm 2016 > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",184.670,591,185.261,184670.0,591.0,185261.0
Công nợ vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016,,,
Tiền gửi và vay các TCTD khác,Công nợ vào ngày 31 tháng 12 năm 2016 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,25.487.819,7.774.172,33.261.991,25487819.0,7774172.0,33261991.0
Tiền gửi của khách hàng,Công nợ vào ngày 31 tháng 12 năm 2016 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,56.200.699,3.060.143,59.260.842,56200699.0,3060143.0,59260842.0
Phát hành giấy tờ có giá,Công nợ vào ngày 31 tháng 12 năm 2016 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,2.000.000,-,2.000.000,2000000.0,,2000000.0
Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016 > Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2016,Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2016,31.799.635,-,31.799.635,31799635.0,,31799635.0
