row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,47.981,226.009,11.786,285.776,47981.0,226009.0,11786.0,285776.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,3.006,72.604,-,75.610,3006.0,72604.0,,75610.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(35),(38),(73),,-35.0,-38.0,-73.0
Giảm khác,Nguyên giá TSCĐ vô hình: > Giảm khác,Giảm khác,(47.981),-,-,(47.981),-47981.0,,,-47981.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,3.006,298.578,11.748,313.332,3006.0,298578.0,11748.0,313332.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,148.636,7.776,156.412,,148636.0,7776.0,156412.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,-,23.780,1.276,25.056,,23780.0,1276.0,25056.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(35),(38),(73),,-35.0,-38.0,-73.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,172.381,9.014,181.395,,172381.0,9014.0,181395.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày đầu năm,Giá trị còn lại: > Tại ngày đầu năm,Tại ngày đầu năm,47.981,77.373,4.010,129.364,47981.0,77373.0,4010.0,129364.0
Tại ngày cuối năm,Giá trị còn lại: > Tại ngày cuối năm,Tại ngày cuối năm,3.006,126.197,2.734,131.937,3006.0,126197.0,2734.0,131937.0
