row_label_raw,row_label_full,Công ty con,Miễn thuế TNDN,Giảm 50% thuế TNDN,Thuế suất 10%,Thuế suất 20%,numeric__Miễn thuế TNDN,numeric__Giảm 50% thuế TNDN,numeric__Thuế suất 10%,numeric__Thuế suất 20%
Công ty TNHH Một thành viên Trung tâm Logistics Xanh (GLC),Công ty TNHH Một thành viên Trung tâm Logistics Xanh (GLC),Công ty TNHH Một thành viên Trung tâm Logistics Xanh (GLC),2013 - 2016,2017 - 2025,2026 - 2027,Từ năm 2028 trở đi,,,,
Công ty Cổ phần Cảng Xanh VIP (VGR),Công ty Cổ phần Cảng Xanh VIP (VGR),Công ty Cổ phần Cảng Xanh VIP (VGR),2016 - 2019,2020 - 2028,2029 - 2030,Từ năm 2031 trở đi,,,,
Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh (GIC),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh (GIC),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh (GIC),2017 - 2020,2021 - 2029,2030 - 2031,Từ năm 2032 trở đi,,,,
