row_label_raw,row_label_full,Ông Bùi Minh Hung > Ông Nguyễn Việt Hoà,Chủ tịch(từ ngày 10/3/2023) > Chủ tịch(cho đến ngày 10/3/2023),3.931.602.000 > 733.854.000,1.743.083.874 > 2.429.589.000,numeric__Chủ tịch(từ ngày 10/3/2023) > Chủ tịch(cho đến ngày 10/3/2023),numeric__3.931.602.000 > 733.854.000,numeric__1.743.083.874 > 2.429.589.000
Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Thành viên,440.000.000,450.000.000,,440000000.0,450000000.0
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Thành viên,3.087.152.099,2.962.138.000,,3087152099.0,2962138000.0
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Thành viên,3.668.607.756,1.737.370.917,,3668607756.0,1737370917.0
Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Thành viên,2.091.100.000,-,,2091100000.0,
Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên(cho đến ngày 10/3/2023),840.000.000,1.148.141.735,,840000000.0,1148141735.0
Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Thành viên(cho đến ngày 9/9/2022),315.000.000,2.724.981.000,,315000000.0,2724981000.0
Ông Trần Quang Tiến,Ông Trần Quang Tiến,Ông Trần Quang Tiến,Thành viên(cho đến ngày 9/9/2022),-,300.000.000,,,300000000.0
Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Thành viên(cho đến ngày 9/3/2022),-,500.000.000,,,500000000.0
,,,,15.107.315.855,13.995.304.526,,15107315855.0,13995304526.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,,
Ông Trương Lý Thế Anh,Ban Kiểm soát > Ông Trương Lý Thế Anh,Ông Trương Lý Thế Anh,Trường ban(từ ngày 10/3/2023),800.651.000,-,,800651000.0,
Bà Nguyễn Thị Kim Nhã,Ban Kiểm soát > Bà Nguyễn Thị Kim Nhã,Bà Nguyễn Thị Kim Nhã,Trường ban(cho đến ngày 10/3/2023),189.854.000,338.040.000,,189854000.0,338040000.0
Bà Ngô Thị Thủy Lương,Ban Kiểm soát > Bà Ngô Thị Thủy Lương,Bà Ngô Thị Thủy Lương,Thành viên(từ ngày 10/3/2023),413.913.256,-,,413913256.0,
Bà Nghiêm Thị Thuỷ Dương,Ban Kiểm soát > Bà Nghiêm Thị Thuỷ Dương,Bà Nghiêm Thị Thuỷ Dương,Thành viên,1.059.263.372,763.786.544,,1059263372.0,763786544.0
Bà Nguyễn Thị Minh Lan,Ban Kiểm soát > Bà Nguyễn Thị Minh Lan,Bà Nguyễn Thị Minh Lan,Thành viên(cho đến ngày 10/3/2023),326.764.638,125.000.000,,326764638.0,125000000.0
,,,,2.790.446.266,1.226.826.544,,2790446266.0,1226826544.0
