row_label_raw,row_label_full,(i),Phải thu ngắn hạn của khách hàng (Thuyết minh 4),31/12/2023VND,31/12/2022VND,numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__31/12/2023VND,numeric__31/12/2022VND
(i),(i),(i),Công ty Cổ phần Logistics Cảng Đà Nẵng,45.752.120,62.795.180,,45752120.0,62795180.0
(i),(i),(i),Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,6.442.200,54.554.040,,6442200.0,54554040.0
(i),(i),(i),Công ty TNHH Tuyến Container T.S. Hà Nội,12.440.338.274,5.240.297.586,,12440338274.0,5240297586.0
(i),(i),(i),Công ty TNHH Cảng Nam Hải Đình Vũ,1.269.376.920,-,,1269376920.0,
(i),(i),(i),Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),24.694.847.334,22.889.142.633,,24694847334.0,22889142633.0
(i),(i),(i),Nguyễn Việt Trung,-,50.000.000,,,50000000.0
(i),(i),(i),,38.456.756.848,28.296.789.439,,38456756848.0,28296789439.0
(ii),(ii),(ii),Phải trả người bán ngắn hạn (Thuyết minh 12),,,,,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Cảng Logistics Đà Nẵng,39.586.600,43.878.784,,39586600.0,43878784.0
(ii),(ii) > (ii),(ii),Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,1.849.819.072,2.539.221.936,,1849819072.0,2539221936.0
(ii),(ii) > (ii),(ii),Công ty TNHH Cảng Nam Hải Đình Vũ,16.691.202.661,-,,16691202661.0,
(ii),(ii) > (ii),(ii),Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),2.366.699.690,-,,2366699690.0,
(ii),(ii) > (ii),(ii),,20.947.308.023,2.583.100.720,,20947308023.0,2583100720.0
