row_label_raw,row_label_full,col_0,Hoạt độngbốc dỡ containerVND,"Hoạt động chạy lạnh,kiềm dịch, lưu kho, lưu bãiVND",Hoạt độngvận chuyểnVND,KhácVND,Tổng cộngVND,numeric__Hoạt độngbốc dỡ containerVND,"numeric__Hoạt động chạy lạnh,kiềm dịch, lưu kho, lưu bãiVND",numeric__Hoạt độngvận chuyểnVND,numeric__KhácVND,numeric__Tổng cộngVND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.048.833.291.855(843.250.166.454),270.288.395.868(217.308.829.321),339.470.619.876(272.930.559.069),522.353.104.095(419.966.018.811),2.180.945.411.694(1.753.455.573.655),,,,,
Tổng chí phí phân bổ,Tổng chí phí phân bổ,Tổng chí phí phân bổ,,,,,,,,,,
Tổng cộng,Tổng chí phí phân bổ > Tổng cộng,Tổng cộng,205.583.125.401,52.979.566.547,66.540.060.807,102.387.085.284,427.489.838.039,205583125401.0,52979566547.0,66540060807.0,102387085284.0,427489838039.0
Chi phí thuần về hoạt động tài chính,Tổng chí phí phân bổ > Chi phí thuần về hoạt động tài chính,Chi phí thuần về hoạt động tài chính,,,,,(141.494.816.335),,,,,-141494816335.0
Thu nhập khác,Tổng chí phí phân bổ > Thu nhập khác,Thu nhập khác,,,,,3.887.437.970,,,,,3887437970.0
Chi phí khác,Tổng chí phí phân bổ > Chi phí khác,Chi phí khác,,,,,(6.791.896.532),,,,,-6791896532.0
Phần lỗ trong công ty liên kết,Tổng chí phí phân bổ > Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,,(17.959.975.663),,,,,-17959975663.0
Thuế TNDN,Tổng chí phí phân bổ > Thuế TNDN,Thuế TNDN,,,,,(66.108.561.559),,,,,-66108561559.0
Lợi nhuận thuần sau thuế TNDN,Tổng chí phí phân bổ > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,199.022.025.920,,,,,199022025920.0
