row_label_raw,row_label_full,Mã số,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,265.130.587.479,476.912.730.032,,265130587479.0,476912730032.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"")",193.367.525.445,201.526.522.056,,193367525445.0,201526522056.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,3.198.290.066,(139.225.749),,3198290066.0,-139225749.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(415.157.851),(154.840.841),,-415157851.0,-154840841.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(13.136.829.741),(14.146.613.917),,-13136829741.0,-14146613917.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay và các chi phí đi vay khác,170.446.855.907,1.104.887.671,,170446855907.0,1104887671.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,618.591.271.305,665.103.459.252,,618591271305.0,665103459252.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,(Tăng)/giảm các khoản phải thu,(4.835.515),15.582.644.924,,-4835515.0,15582644924.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Tăng hàng tồn kho,(1.036.970.174),(3.143.075.771),,-1036970174.0,-3143075771.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng/(giảm) các khoản phải trả,74.187.947.332,(90.875.177.898),,74187947332.0,-90875177898.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Giảm chi phí trả trước,41.862.850.975,420.820.031,,41862850975.0,420820031.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay và các chi phí đi vay khác đã trả,(2.450.000.000),-,,-2450000000.0,
15,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Thuế TNDN đã nộp,(62.414.431.030),(84.803.675.087),,-62414431030.0,-84803675087.0
17,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh (*),(26.299.593.744),(30.099.887.900),,-26299593744.0,-30099887900.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,642.436.239.149,472.185.107.551,,642436239149.0,472185107551.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",(5.376.972.837),(137.803.313.599),,-5376972837.0,-137803313599.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ và tài sản dài hạn khác",464.804.091,1.698.016.484,,464804091.0,1698016484.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 23,23,Tiền chi mua các công cụ nợ của đơn vị khác,(601.185.299.943),(483.667.439.500),,-601185299943.0,-483667439500.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 24,24,Tiền bán lại các công cụ nợ của đơn vị khác,415.536.439.500,343.318.900.000,,415536439500.0,343318900000.0
