row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu (***) VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu (***) VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,551.227.980.000,36.141.891.246,-,826.088.451.117,-,659.965.436.905,373.650.548.295,2.447.074.307.563,551227980000.0,36141891246.0,,826088451117.0,,659965436905.0,373650548295.0,2447074307563.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,314.293.593.407,78.845.533.336,393.139.126.743,,,,,,314293593407.0,78845533336.0,393139126743.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,49.454.544.330,-,(49.454.544.330),-,-,,,,49454544330.0,,-49454544330.0,,
Trích lập Quỹ khác,Trích lập Quỹ khác,Trích lập Quỹ khác,-,-,-,-,1.382.700.000,(1.382.700.000),-,-,,,,,1382700000.0,-1382700000.0,,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(23.000.000.000),-,(23.000.000.000),,,,,,-23000000000.0,,-23000000000.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,-,(5.345.000.000),-,(5.345.000.000),,,,,,-5345000000.0,,-5345000000.0
Góp vốn bằng tiền,Góp vốn bằng tiền,Góp vốn bằng tiền,551.227.980.000,3.261.630.000,-,-,-,-,-,554.489.610.000,551227980000.0,3261630000.0,,,,,,554489610000.0
Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(43.136.250.000),(43.136.250.000),,,,,,,-43136250000.0,-43136250000.0
Chia cổ tức bằng cổ phiếu năm 2021,Chia cổ tức bằng cổ phiếu năm 2021,Chia cổ tức bằng cổ phiếu năm 2021,110.238.010.000,-,-,-,-,(110.238.010.000),-,-,110238010000.0,,,,,-110238010000.0,,
Tạm ứng cổ tức năm 2022,Tạm ứng cổ tức năm 2022,Tạm ứng cổ tức năm 2022,-,-,-,-,-,(121.269.397.000),-,(121.269.397.000),,,,,,-121269397000.0,,-121269397000.0
Khác,Khác,Khác,-,-,-,-,-,459.591.971,(1.211.641.971),(752.050.000),,,,,,459591971.0,-1211641971.0,-752050000.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,1.212.693.970.000,39.403.521.246,-,875.542.995.447,1.382.700.000,664.028.970.953,408.148.189.660,3.201.200.347.306,1212693970000.0,39403521246.0,,875542995447.0,1382700000.0,664028970953.0,408148189660.0,3201200347306.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,11.083.248.329,-,(11.083.248.329),-,-,,,,11083248329.0,,-11083248329.0,,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18) (*)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18) (*)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18) (*)",-,-,-,-,-,(28.000.000.000),-,(28.000.000.000),,,,,,-28000000000.0,,-28000000000.0
Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),-,-,-,-,-,(7.271.635.638),-,(7.271.635.638),,,,,,-7271635638.0,,-7271635638.0
Chia cổ tức bằng cổ phiếu năm 2022 (**),Chia cổ tức bằng cổ phiếu năm 2022 (**),Chia cổ tức bằng cổ phiếu năm 2022 (**),121.262.450.000,-,-,-,-,(121.262.450.000),-,-,121262450000.0,,,,,-121262450000.0,,
Chia cổ tức cho cổ đông không kiểm soát (***),Chia cổ tức cho cổ đông không kiểm soát (***),Chia cổ tức cho cổ đông không kiểm soát (***),-,-,-,-,-,-,(54.164.095.200),(54.164.095.200),,,,,,,-54164095200.0,-54164095200.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,123.623.359.657,75.398.666.263,199.022.025.920,,,,,,123623359657.0,75398666263.0,199022025920.0
Ứng trước cổ tức năm nay cho cổ đông không kiểm soát (****),Ứng trước cổ tức năm nay cho cổ đông không kiểm soát (****),Ứng trước cổ tức năm nay cho cổ đông không kiểm soát (****),-,-,-,-,-,-,(16.225.000.000),(16.225.000.000),,,,,,,-16225000000.0,-16225000000.0
Khác,Khác,Khác,-,-,1.382.700.000,-,(1.382.700.000),-,(254.745.000),(254.745.000),,,1382700000.0,,-1382700000.0,,-254745000.0,-254745000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,1.333.956.420.000,39.403.521.246,1.382.700.000,886.626.243.776,-,620.034.996.643,412.903.015.723,3.294.306.897.388,1333956420000.0,39403521246.0,1382700000.0,886626243776.0,,620034996643.0,412903015723.0,3294306897388.0
