row_label_raw,row_label_full,col_0,Hoạt độngbốc dỡ containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",Hoạt độngvận chuyểnVND,KhácVND,Tổng cộngVND,numeric__Hoạt độngbốc dỡ containerVND,"numeric__Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",numeric__Hoạt độngvận chuyểnVND,numeric__KhácVND,numeric__Tổng cộngVND
Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,974.514.896.630(744.335.967.448),143.274.511.568(109.433.290.910),461.503.344.777(352.496.960.080),428.104.741.774(326.987.056.061),2.007.397.494.749(1.533.253.274.499),,,,,
Tổng chỉ phí phân bổ,Tổng chỉ phí phân bổ,Tổng chỉ phí phân bổ,,,,,,,,,,
Tổng cộng,Tổng chỉ phí phân bổ > Tổng cộng,Tổng cộng,230.178.929.182,33.841.220.658,109.006.384.697,101.117.685.713,474.144.220.250,230178929182.0,33841220658.0,109006384697.0,101117685713.0,474144220250.0
Doanh thu thuần về hoạt động tài chính,Doanh thu thuần về hoạt động tài chính,Doanh thu thuần về hoạt động tài chính,,,,,29.581.054.483(7.089.960.915),,,,,
Chi phí khác,Chi phí khác,Chi phí khác,,,,,29.581.054.483(7.089.960.915),,,,,
Phân chia lợi nhuận của công ty liên kết,Chi phí khác > Phân chia lợi nhuận của công ty liên kết,Phân chia lợi nhuận của công ty liên kết,,,,,(19.722.583.786),,,,,-19722583786.0
Thuế TNDN,Chi phí khác > Thuế TNDN,Thuế TNDN,,,,,(83.773.603.289),,,,,-83773603289.0
Lợi nhuận thuần sau thuế TNDN,Chi phí khác > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,393.139.126.743,,,,,393139126743.0
