row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,952.119.888.214,94.593.530.586,1.479.557.575.233,18.810.404.454,2.545.081.398.487,952119888214.0,94593530586.0,1479557575233.0,18810404454.0,2545081398487.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (*),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (*),Chuyển từ chi phí xây dựng cơ bảnđở dang (*),349.730.000,-,16.881.217.818,-,17.230.947.818,349730000.0,,16881217818.0,,17230947818.0
Mua trong năm (*),Nguyên giá > Mua trong năm (*),Mua trong năm (*),-,239.348.195,-,84.090.909,323.439.104,,239348195.0,,84090909.0,323439104.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(208.968.000),(5.191.113.886),(261.352.530),(5.661.434.416),,-208968000.0,-5191113886.0,-261352530.0,-5661434416.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,952.469.618.214,94.623.910.781,1.491.247.679.165,18.633.142.833,2.556.974.350.993,952469618214.0,94623910781.0,1491247679165.0,18633142833.0,2556974350993.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(565.384.704.050),(75.386.926.506),(1.079.159.689.615),(16.654.422.162),(1.736.585.742.333),-565384704050.0,-75386926506.0,-1079159689615.0,-16654422162.0,-1736585742333.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(55.820.642.272),(5.149.379.124),(130.975.388.154),(1.068.041.974),(193.013.451.524),-55820642272.0,-5149379124.0,-130975388154.0,-1068041974.0,-193013451524.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,208.968.000,4.930.738.390,261.352.530,5.401.058.920,,208968000.0,4930738390.0,261352530.0,5401058920.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(621.205.346.322),(80.327.337.630),(1.205.204.339.379),(17.461.111.606),(1.924.198.134.937),-621205346322.0,-80327337630.0,-1205204339379.0,-17461111606.0,-1924198134937.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,386.735.184.164,19.206.604.080,400.397.885.618,2.155.982.292,808.495.656.154,386735184164.0,19206604080.0,400397885618.0,2155982292.0,808495656154.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,331.264.271.892,14.296.573.151,286.043.339.786,1.172.031.227,632.776.216.056,331264271892.0,14296573151.0,286043339786.0,1172031227.0,632776216056.0
