row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Nâng cấp tài sản thuê VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Nâng cấp tài sản thuê VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.814.238.757.656,19.583.055.888,6.905.606.339.727,25.726.308.477,105.116.552.674,9.870.271.014.422,2814238757656.0,19583055888.0,6905606339727.0,25726308477.0,105116552674.0,9870271014422.0
Tăng từ mua một công ty con,Nguyên giá > Tăng từ mua một công ty con,Tăng từ mua một công ty con,57.310.110.677,-,5.081.997.734,-,238.945.929,62.631.054.340,57310110677.0,,5081997734.0,,238945929.0,62631054340.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,206.179.400,-,8.430.168.243,984.218.000,401.141.415,10.021.707.058,206179400.0,,8430168243.0,984218000.0,401141415.0,10021707058.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,151.222.610.895,-,425.589.094.974,118.000.000,4.182.440.061,581.112.145.930,151222610895.0,,425589094974.0,118000000.0,4182440061.0,581112145930.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,18.627.973.918,-,-,-,-,18.627.973.918,18627973918.0,,,,,18627973918.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(28.184.906.344),-,(151.335.905.649),(1.377.904.729),(19.796.007.312),(200.694.724.034),-28184906344.0,,-151335905649.0,-1377904729.0,-19796007312.0,-200694724034.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(284.662.348),-,(218.569.996),(54.076.940),(71.883.317),(629.192.601),-284662348.0,,-218569996.0,-54076940.0,-71883317.0,-629192601.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.013.136.063.854,19.583.055.888,7.193.153.125.033,25.396.544.808,90.071.189.450,10.341.339.979.033,3013136063854.0,19583055888.0,7193153125033.0,25396544808.0,90071189450.0,10341339979033.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,956.797.894.768,19.583.055.888,4.259.262.529.862,13.729.552.969,85.763.655.591,5.335.136.689.078,956797894768.0,19583055888.0,4259262529862.0,13729552969.0,85763655591.0,5335136689078.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,111.663.046.888,-,470.078.134.633,3.801.065.362,6.912.905.481,592.455.152.364,111663046888.0,,470078134633.0,3801065362.0,6912905481.0,592455152364.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,15.833.666.949,-,-,-,-,15.833.666.949,15833666949.0,,,,,15833666949.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(27.987.512.398),-,(144.740.801.011),(1.377.904.729),(19.772.706.258),(193.878.924.396),-27987512398.0,,-144740801011.0,-1377904729.0,-19772706258.0,-193878924396.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(284.662.348),-,(218.569.996),(54.076.940),(71.883.317),(629.192.601),-284662348.0,,-218569996.0,-54076940.0,-71883317.0,-629192601.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.056.022.433.859,19.583.055.888,4.584.381.293.488,16.098.636.662,72.831.971.497,5.748.917.391.394,1056022433859.0,19583055888.0,4584381293488.0,16098636662.0,72831971497.0,5748917391394.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.857.440.862.888,-,2.646.343.809.865,11.996.755.508,19.352.897.083,4.535.134.325.344,1857440862888.0,,2646343809865.0,11996755508.0,19352897083.0,4535134325344.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.957.113.629.995,-,2.608.771.831.545,9.297.908.146,17.239.217.953,4.592.422.587.639,1957113629995.0,,2608771831545.0,9297908146.0,17239217953.0,4592422587639.0
