row_label_raw,row_label_full,col_0,Chi phí trả trước thuê văn phòng VND,Chi phí đất trả trước và phí sử dụng cơ sở hạ tầng VND,Lợi thế kinh doanh từ cổ phần hóa VND,Công cụ và dụng cụ VND,Chi phí sắp xếp khoản vay VND,Tổng VND,numeric__Chi phí trả trước thuê văn phòng VND,numeric__Chi phí đất trả trước và phí sử dụng cơ sở hạ tầng VND,numeric__Lợi thế kinh doanh từ cổ phần hóa VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí sắp xếp khoản vay VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,540.905.874.058,3.134.371.154,95.430.046.465,40.349.539.691,679.819.831.368,,540905874058.0,3134371154.0,95430046465.0,40349539691.0,679819831368.0
Tăng từ mua một công ty con,Tăng từ mua một công ty con,Tăng từ mua một công ty con,-,11.172.527.976,-,456.151.749,-,11.628.679.725,,11172527976.0,,456151749.0,,11628679725.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.447.432.337.020,349.436.340,-,18.330.996.006,3.407.620.000,1.469.520.389.366,1447432337020.0,349436340.0,,18330996006.0,3407620000.0,1469520389366.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,-,57.965.201.397,-,57.965.201.397,,,,57965201397.0,,57965201397.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(47.543.397.930),(14.004.825.190),(3.134.371.154),(53.645.731.187),(10.487.337.790),(128.815.663.251),-47543397930.0,-14004825190.0,-3134371154.0,-53645731187.0,-10487337790.0,-128815663251.0
Thanh lý,Thanh lý,Thanh lý,-,-,-,(2.583.615.837),-,(2.583.615.837),,,,-2583615837.0,,-2583615837.0
Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,-,-,-,3.021.349,-,3.021.349,,,,3021349.0,,3021349.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.399.888.939.090,538.423.013.184,-,115.956.069.942,33.269.821.901,2.087.537.844.117,1399888939090.0,538423013184.0,,115956069942.0,33269821901.0,2087537844117.0
