row_label_raw,row_label_full,col_0,Thực phẩm,Thực phẩm_1,Đồ uống,Đồ uống_1,Sản phẩm chăm sóccá nhân và gia đình,Sản phẩm chăm sóccá nhân và gia đình_1,Các sản phẩm khác,Các sản phẩm khác_1,Hợp nhất,Hợp nhất_1,numeric__Thực phẩm,numeric__Thực phẩm_1,numeric__Đồ uống,numeric__Đồ uống_1,numeric__Sản phẩm chăm sóccá nhân và gia đình,numeric__Sản phẩm chăm sóccá nhân và gia đình_1,numeric__Các sản phẩm khác,numeric__Các sản phẩm khác_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,,,,,,,,,,
Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,20.712.104.252.255,21.192.375.176.114,7.167.920.788.313,7.334.126.578.012,2.394.463.912.937,2.124.596.926.651,282.047.652.436,246.126.944.460,30.556.536.605.941,30.897.225.625.237,20712104252255.0,21192375176114.0,7167920788313.0,7334126578012.0,2394463912937.0,2124596926651.0,282047652436.0,246126944460.0,30556536605941.0,30897225625237.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,5.938.145.130.349,6.270.211.156.658,1.606.839.706.479,1.597.093.510.687,53.824.335.031,55.348.723.564,85.059.055.199,119.242.420.069,7.683.868.227.058,8.041.895.810.978,5938145130349.0,6270211156658.0,1606839706479.0,1597093510687.0,53824335031.0,55348723564.0,85059055199.0,119242420069.0,7683868227058.0,8041895810978.0
Chi phí quản lý doanh nghiệp không phân bổ,Chi phí quản lý doanh nghiệp không phân bổ,Chi phí quản lý doanh nghiệp không phân bổ,,,,,,,,,(463.933.998.525),(452.054.641.363),,,,,,,,,-463933998525.0,-452054641363.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,1.101.773.477.711,1.800.658.967.028,,,,,,,,,1101773477711.0,1800658967028.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,(557.023.389.341),(377.908.783.144),,,,,,,,,-557023389341.0,-377908783144.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,7.764.684.316.903,9.012.591.353.499,,,,,,,,,7764684316903.0,9012591353499.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,,,8.847.141.370,3.762.860.256,,,,,,,,,8847141370.0,3762860256.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,,,(8.608.085.997),(12.041.347.338),,,,,,,,,-8608085997.0,-12041347338.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,,(1.000.774.657.689),(1.083.775.335.418),,,,,,,,,-1000774657689.0,-1083775335418.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,6.764.148.714.587,7.920.537.530.999,,,,,,,,,6764148714587.0,7920537530999.0
