row_label_raw,row_label_full,col_0,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,25.003.975.478,25003975478.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,54.400.414.118,54400414118.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,89.194.637.969,89194637969.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,23.068.760,23068760.0
"Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần",62.631.054.340,62631054340.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,477.947.750,477947750.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,11.628.679.725,11628679725.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(158.883.751),-158883751.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(1.265.341.888),-1265341888.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(638.887.661),-638887661.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(189.351.239.076),-189351239076.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(7.428.557.774),-7428557774.0
Tổng tài sản thuần có thể xác định được từ việc mua lại,Tổng tài sản thuần có thể xác định được từ việc mua lại,Tổng tài sản thuần có thể xác định được từ việc mua lại,44.516.867.990,44516867990.0
Phần tài sản thuần từ việc mua lại,Phần tài sản thuần từ việc mua lại,Phần tài sản thuần từ việc mua lại,44.516.867.990,44516867990.0
Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 18),Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 18),Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 18),15.483.132.010,15483132010.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,60.000.000.000,60000000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(25.003.975.478),-25003975478.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,34.996.024.522,34996024522.0
