row_label_raw,row_label_full,col_0,Nhà cửa VND,Cơ sở hạ tầng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Cơ sở hạ tầng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.016.283.093,611.690.825,18.627.973.918,18016283093.0,611690825.0,18627973918.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(18.016.283.093),(611.690.825),(18.627.973.918),-18016283093.0,-611690825.0,-18627973918.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,14.148.580.100,313.809.781,14.462.389.881,14148580100.0,313809781.0,14462389881.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.312.764.724,58.512.344,1.371.277.068,1312764724.0,58512344.0,1371277068.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(15.461.344.824),(372.322.125),(15.833.666.949),-15461344824.0,-372322125.0,-15833666949.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.867.702.993,297.881.044,4.165.584.037,3867702993.0,297881044.0,4165584037.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
