row_label_raw,row_label_full,col_0,Thực phẩm,Thực phẩm_1,Đồ uống,Đồ uống_1,Sản phẩm chăm sóccá nhân và gia đình,Sản phẩm chăm sóccá nhân và gia đình_1,Hợp nhất,Hợp nhất_1,numeric__Thực phẩm,numeric__Thực phẩm_1,numeric__Đồ uống,numeric__Đồ uống_1,numeric__Sản phẩm chăm sóccá nhân và gia đình,numeric__Sản phẩm chăm sóccá nhân và gia đình_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2025VND,1/1/2025VND,31/12/2025VND,1/1/2025VND,31/12/2025VND,1/1/2025VND,31/12/2025VND,1/1/2025VND,,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,6.142.491.632.319,6.035.414.304.841,2.879.228.151.427,2.180.076.694.163,1.010.307.060.142,1.100.644.844.509,10.032.026.843.888,9.316.135.843.513,6142491632319.0,6035414304841.0,2879228151427.0,2180076694163.0,1010307060142.0,1100644844509.0,10032026843888.0,9316135843513.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,23.934.176.802.530,18.583.824.602.817,,,,,,,23934176802530.0,18583824602817.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,33.966.203.646.418,27.899.960.446.330,,,,,,,33966203646418.0,27899960446330.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.182.546.914.752,2.419.214.505.734,864.972.331.341,722.625.579.548,451.198.325.635,398.078.827.705,3.498.717.571.728,3.539.918.912.987,2182546914752.0,2419214505734.0,864972331341.0,722625579548.0,451198325635.0,398078827705.0,3498717571728.0,3539918912987.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,11.805.344.758.379,13.032.214.756.041,,,,,,,11805344758379.0,13032214756041.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,15.304.062.330.107,16.572.133.669.028,,,,,,,15304062330107.0,16572133669028.0
,,,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,635.428.288.359,387.245.783.349,483.455.510.087,68.602.960.365,19.440.275.909,20.393.392.932,1.138.324.074.355,476.242.136.646,635428288359.0,387245783349.0,483455510087.0,68602960365.0,19440275909.0,20393392932.0,1138324074355.0,476242136646.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,,,1.516.639.000.553,101.540.901.333,,,,,,,1516639000553.0,101540901333.0
Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,405.935.001.851,415.663.792.442,156.463.159.847,152.327.721.080,23.584.856.717,23.121.051.728,585.983.018.415,591.112.565.250,405935001851.0,415663792442.0,156463159847.0,152327721080.0,23584856717.0,23121051728.0,585983018415.0,591112565250.0
Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,,,,,,,7.843.411.017,6.043.075.181,,,,,,,7843411017.0,6043075181.0
"Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn",34.548.278.221,27.091.561.511,57.803.374.122,57.765.976.791,36.916.546.930,36.820.850.860,129.268.199.273,121.678.389.162,34548278221.0,27091561511.0,57803374122.0,57765976791.0,36916546930.0,36820850860.0,129268199273.0,121678389162.0
Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,,,,81.305.070.264,39.502.737.557,,,,,,,81305070264.0,39502737557.0
