row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2025 VND,Giá trị giao dịch > 2024 VND,Phải thu/(Phải trả) tại ngày > 31/12/2025 VND,Phải thu/(Phải trả) tại ngày > 1/1/2025 VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2025 VND,numeric__Giá trị giao dịch > 2024 VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2025 VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2025 VND
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Bán hàng hóa,406.373.284,697.456.640,344.334.240,485.816.575,,406373284.0,697456640.0,344334240.0,485816575.0
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Mua hàng hóa và dịch vụ,9.361.710.940,8.082.502.010,(1.225.109.415),(917.678.870),,9361710940.0,8082502010.0,-1225109415.0,-917678870.0
Công ty TNHH Masan Brewery MB,Công ty TNHH Masan Brewery MB,Công ty TNHH Masan Brewery MB,Mua dịch vụ,6.048.000.000,6.048.000.000,(599.017.126),(598.485.824),,6048000000.0,6048000000.0,-599017126.0,-598485824.0
Công ty TNHH Masan Brewery MB,Công ty TNHH Masan Brewery MB,Công ty TNHH Masan Brewery MB,Đặt cọc thuê kho,-,-,67.199.190.493,67.199.190.493,,,,67199190493.0,67199190493.0
Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Bán hàng hóa,24.486.106,17.272.221,5.070.000,2.178.000,,24486106.0,17272221.0,5070000.0,2178000.0
Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Bán tài sản cố định,-,1.424.423.807,-,-,,,1424423807.0,,
Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Phí hỗ trợ quản lý,26.741.368.006,24.515.402.071,4.281.090.600,12.628.950.121,,26741368006.0,24515402071.0,4281090600.0,12628950121.0
Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Bán hàng hóa,541.252.639,219.074.385,138.044.525,39.402.768,,541252639.0,219074385.0,138044525.0,39402768.0
Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Mua hàng hóa,2.625.482.400,1.311.981.600,(193.534.740),(308.683.200),,2625482400.0,1311981600.0,-193534740.0,-308683200.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Bán hàng hóa,305.988.721,369.860.794,79.680.637,22.731.589,,305988721.0,369860794.0,79680637.0,22731589.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Mua hàng hóa và dịch vụ,2.774.696.192,11.961.278.823,(78.232.298),(346.111.687),,2774696192.0,11961278823.0,-78232298.0,-346111687.0
Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Bán hàng hóa,11.001.500,19.798.624,-,-,,11001500.0,19798624.0,,
Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Mua hàng hóa,13.256.000,43.268.592,-,-,,13256000.0,43268592.0,,
Công ty Cổ phần 3F VIỆT và chi nhánh,Công ty Cổ phần 3F VIỆT và chi nhánh,Công ty Cổ phần 3F VIỆT và chi nhánh,Bán hàng hóa,360.623.858,254.144.503,309.257.770,3.240.000,,360623858.0,254144503.0,309257770.0,3240000.0
Công ty Cổ phần 3F VIỆT và chi nhánh,Công ty Cổ phần 3F VIỆT và chi nhánh,Công ty Cổ phần 3F VIỆT và chi nhánh,Mua hàng hóa,-,18.500.920,-,-,,,18500920.0,,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Bán hàng hóa,1.091.844.046,1.112.853.611,109.399.707,141.031.618,,1091844046.0,1112853611.0,109399707.0,141031618.0
Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,Mua hàng hóa và dịch vụ,5.612.999.500,8.744.327.374,(197.030.000),(1.566.844.000),,5612999500.0,8744327374.0,-197030000.0,-1566844000.0
Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,Phân bổ tiền thuê văn phòng,-,336.911.040,-,-,,,336911040.0,,
