row_label_raw,row_label_full,col_0,Võ bình gas VND,Chi phí đất trả trước VND,Chi phí sửa chữa lớn tài sản VND,Công cụ và dụng cụ VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Võ bình gas VND,numeric__Chi phí đất trả trước VND,numeric__Chi phí sửa chữa lớn tài sản VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,223.155.239.981,1.679.364.440.119,222.566.016.026,114.188.201.734,417.007.428.879,2.656.281.326.739,223155239981.0,1679364440119.0,222566016026.0,114188201734.0,417007428879.0,2656281326739.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,26.638.196.198,75.521.027.161,152.876.691.337,97.074.450.849,224.888.476.571,576.998.842.116,26638196198.0,75521027161.0,152876691337.0,97074450849.0,224888476571.0,576998842116.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,62.477.690.745,100.132.045.025,11.058.408.978,33.033.747.708,206.701.892.456,,62477690745.0,100132045025.0,11058408978.0,33033747708.0,206701892456.0
Thanh lý và xóa số,Thanh lý và xóa số,Thanh lý và xóa số,(247.046.632),(32.165.075.081),-,(149.530.707),(148.037.721),(32.709.690.141),-247046632.0,-32165075081.0,,-149530707.0,-148037721.0,-32709690141.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(49.282.852.931),(108.012.047.230),(173.948.272.572),(101.788.207.461),(208.804.271.711),(641.835.651.905),-49282852931.0,-108012047230.0,-173948272572.0,-101788207461.0,-208804271711.0,-641835651905.0
Phân loại lại,Phân loại lại,Phân loại lại,-,(42.088.092.311),(118.500.000),-,42.206.592.311,-,,-42088092311.0,-118500000.0,,42206592311.0,
Biến động khác,Biến động khác,Biến động khác,-,(7.561.911.804),(710.869.815),70.687.155,(112.406.785),(8.314.501.249),,-7561911804.0,-710869815.0,70687155.0,-112406785.0,-8314501249.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,200.263.536.616,1.627.536.031.599,300.797.110.001,120.454.010.548,508.071.529.252,2.757.122.218.016,200263536616.0,1627536031599.0,300797110001.0,120454010548.0,508071529252.0,2757122218016.0
