row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,31/12/2023 > Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,31/12/2023 > Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,1/1/2023 > Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,1/1/2023 > Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2023 > Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2023 > Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__1/1/2023 > Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__1/1/2023 > Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn
▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),14.490.882.800.475,14.490.882.800.475,6.092.588.479.188,6.092.588.479.188,14490882800475.0,14490882800475.0,6092588479188.0,6092588479188.0
▪ Trái phiếu (ii),▪ Trái phiếu (ii),▪ Trái phiếu (ii),2.000.000.000.000,(*),1.000.000.000.000,(*),2000000000000.0,,1000000000000.0,
,,,16.490.882.800.475,,7.092.588.479.188,,16490882800475.0,,7092588479188.0,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,,
▪ Tiền gửi có kỳ hạn (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Tiền gửi có kỳ hạn (iii),▪ Tiền gửi có kỳ hạn (iii),77.000.000.000,(*),-,-,77000000000.0,,,
▪ Trái phiếu (iv),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu (iv),▪ Trái phiếu (iv),3.200.000.000.000,(*),3.200.000.000.000,(*),3200000000000.0,,3200000000000.0,
,,,3.277.000.000.000,,3.200.000.000.000,,3277000000000.0,,3200000000000.0,
