row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,31/12/2023 > Tỷ lệ biểu quyết,31/12/2023 > Tỷ lệ sở hữu,31/12/2023 > Giá trị đầu tư theo phương pháp vốn chủ VND,31/12/2023 > Dự phòng VND,1/1/2023 > Giá trị hợp lý VND,1/1/2023 > Tỷ lệ biểu quyết,1/1/2023 > Tỷ lệ sở hữu,1/1/2023 > Giá trị đầu tư theo phương pháp vốn chủ VND,1/1/2023 > Dự phòng VND,Giá trị hợp lý VND,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__31/12/2023 > Tỷ lệ biểu quyết,numeric__31/12/2023 > Tỷ lệ sở hữu,numeric__31/12/2023 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__31/12/2023 > Dự phòng VND,numeric__1/1/2023 > Giá trị hợp lý VND,numeric__1/1/2023 > Tỷ lệ biểu quyết,numeric__1/1/2023 > Tỷ lệ sở hữu,numeric__1/1/2023 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__1/1/2023 > Dự phòng VND,numeric__Giá trị hợp lý VND
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP. Hồ Chí Minh,Chế biến các sản phẩm đầu nhôn,35%,35%,270.767.712.294,-,(*),35%,35%,265.066.344.762,-,(*),,,,0.35,0.35,270767712294.0,,,0.35,0.35,265066344762.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Tổng Công ty Cổ phần Bảo hiểm Petrolímex,Hà Nội,Kinh doanh bảo hiểm,41%,41%,763.562.795.578,-,1.076.222.403.600,41%,41%,688.138.521.286,-,1.216.994.110.400,,,,0.41,0.41,763562795578.0,,1076222403600.0,0.41,0.41,688138521286.0,,1216994110400.0
2,Công ty liên kết > 2,2,Công ty Cổ phần Thương mại Kiên Giang,Kiên Giang,"Nông sản, xăng đầu Đầu tư, xây dựng, khai thác, quản lý và bảo trì hệ thống",39%,39%,157.896.610.137,-,(*),39%,39%,157.799.998.318,-,(*),,,,0.39,0.39,157896610137.0,,,0.39,0.39,157799998318.0,,
3,Công ty liên kết > 3,3,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam,Hà Nội,Đường cao tốc quốc gia,22%,22%,19.657.879.606,-,(*),22%,22%,20.666.682.577,-,(*),,,,0.22,0.22,19657879606.0,,,0.22,0.22,20666682577.0,,
4,Công ty liên kết > 4,4,Công ty Cổ phần Cơ khí Xăng dầu,TP. Hồ Chí Minh,"Kinh doanh các loại vật tư, thiết bị xăng dầu",46%,46%,82.443.278.359,-,(*),46%,46%,79.972.517.421,-,(*),,,,0.46,0.46,82443278359.0,,,0.46,0.46,79972517421.0,,
5,Công ty liên kết > 5,5,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolímex,Hà Nội,Xây lắp,30%,30%,70.001.485.273,-,(*),30%,30%,70.184.752.159,-,(*),,,,0.3,0.3,70001485273.0,,,0.3,0.3,70184752159.0,,
6,Công ty liên kết > 6,6,Công ty Cổ phần Xây lắp III - Petrolímex,TP. Hồ Chí Minh,Xây lắp,30%,30%,20.733.852.679,-,(*),30%,30%,25.369.086.950,-,(*),,,,0.3,0.3,20733852679.0,,,0.3,0.3,25369086950.0,,
7,Công ty liên kết > 7,7,Công ty Cổ phần Thương mại Dịch vụ Sửa chữa Ô tô Việt Nam (i),Hà Nội,Mua bán hàng hóa,40%,40%,1.800.000.000,(565.644.022),(*),40%,40%,1.800.000.000,(688.673.145),(*),,,,0.4,0.4,1800000000.0,-565644022.0,,0.4,0.4,1800000000.0,-688673145.0,
8,Công ty liên kết > 8,8,Ngân hàng TMCP Xăng dầu Petrolímex (iii),Hà Nội,Kinh doanh dịch vụ ngân hàng,-,-,-,-,-,40%,40%,1.833.811.196.377,-,1.914.000.000.000,,,,,,,,,0.4,0.4,1833811196377.0,,1914000000000.0
9,Công ty liên kết > 9,9,Công ty Cổ phần Thương mại Tuyên Quang (iv),Tuyên Quang,Kinh doanh thương mại,-,-,-,-,-,28%,28%,2.091.995.284,-,(*),,,,,,,,,0.28,0.28,2091995284.0,,
,,,,,,,,1.386.863.613.926,(565.644.022),,,,3.144.901.095.134,(688.673.145),,,,,,,1386863613926.0,-565644022.0,,,,3144901095134.0,-688673145.0,
