row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,236.138.955.052.945,111.121.559.230.283,8.600.983.109.566,4.014.358.370.359,11.598.339.237.892,2.923.508.048.091,(70.333.891.622.692),304.063.811.426.444,236138955052945.0,111121559230283.0,8600983109566.0,4014358370359.0,11598339237892.0,2923508048091.0,-70333891622692.0,304063811426444.0
Trong đó: Doanh thu nổi bộ,Trong đó: Doanh thu nổi bộ,Trong đó: Doanh thu nổi bộ,11.138.449.895.264,51.272.148.917.419,1.339.653.968.915,1.183.679.983.916,4.722.601.991.422,677.356.865.756,(70.333.891.622.692),-,11138449895264.0,51272148917419.0,1339653968915.0,1183679983916.0,4722601991422.0,677356865756.0,-70333891622692.0,
Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,225.000.505.157.681,59.849.410.312.864,7.261.329.140.651,2.830.678.386.443,6.875.737.246.470,2.246.151.182.335,-,304.063.811.426.444,225000505157681.0,59849410312864.0,7261329140651.0,2830678386443.0,6875737246470.0,2246151182335.0,,304063811426444.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(236.834.783.663.428),(110.354.469.754.038),(8.263.105.604.688),(3.878.954.015.267),(11.263.039.393.782),(2.790.206.448.992),70.317.577.329.965,(303.066.981.550.230),-236834783663428.0,-110354469754038.0,-8263105604688.0,-3878954015267.0,-11263039393782.0,-2790206448992.0,70317577329965.0,-303066981550230.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(226.386.941.485.036),(109.264.317.552.989),(7.509.684.767.645),(3.404.579.921.043),(10.641.545.968.592),(2.485.607.277.798),67.948.502.167.924,(291.744.174.805.179),-226386941485036.0,-109264317552989.0,-7509684767645.0,-3404579921043.0,-10641545968592.0,-2485607277798.0,67948502167924.0,-291744174805179.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(10.447.842.178.392),(1.074.590.088.294),(610.173.142.056),(338.177.945.879),(197.377.971.970),(200.460.140.739),2.369.075.162.041,(10.499.546.305.289),-10447842178392.0,-1074590088294.0,-610173142056.0,-338177945879.0,-197377971970.0,-200460140739.0,2369075162041.0,-10499546305289.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,-,(15.562.112.755),(143.247.694.987),(136.196.148.345),(424.115.453.220),(104.139.030.455),-,(823.260.439.762),,-15562112755.0,-143247694987.0,-136196148345.0,-424115453220.0,-104139030455.0,,-823260439762.0
Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),(695.828.610.483),767.089.476.245,337.877.504.878,135.404.355.092,335.299.844.110,133.301.599.099,(16.314.292.727),996.829.876.214,-695828610483.0,767089476245.0,337877504878.0,135404355092.0,335299844110.0,133301599099.0,-16314292727.0,996829876214.0
"Phân lãi trong công ty liên doanh, liên kết","Phân lãi trong công ty liên doanh, liên kết","Phân lãi trong công ty liên doanh, liên kết",,,,,,,,702.934.611.210,,,,,,,,702934611210.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,1.948.942.567.940,,,,,,,,1948942567940.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,(1.706.489.278.910),,,,,,,,-1706489278910.0
Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,,,,,,,,327.909.619.824,,,,,,,,327909619824.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,,,2.270.127.396.278,,,,,,,,2270127396278.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,(435.867.990.491),,,,,,,,-435867990491.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,,,,,,,,67.973.931.964,,,,,,,,67973931964.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,1.902.233.337.751,,,,,,,,1902233337751.0
