row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,8.341.611.628.294,1.599.322.022.052,549.952.407.337,51.142.685.869,872.793.763.548,191.206.419.598,-,11.606.028.926.698,8341611628294.0,1599322022052.0,549952407337.0,51142685869.0,872793763548.0,191206419598.0,,11606028926698.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,4.590.000.000.000,-,218.449.095.530,1.256.534.282.544,909.275.616.000,123.384.306.216,-,7.097.643.300.290,4590000000000.0,,218449095530.0,1256534282544.0,909275616000.0,123384306216.0,,7097643300290.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,3.920.616.025.156,13.119.513.149.374,1.432.116.583.921,418.188.329.143,412.925.728.081,201.420.231.558,(6.831.092.081.686),12.673.687.965.547,3920616025156.0,13119513149374.0,1432116583921.0,418188329143.0,412925728081.0,201420231558.0,-6831092081686.0,12673687965547.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,13.999.272.151.203,1.040.030.284.250,1.431.770.337.999,150.777.521.308,511.251.117.276,183.442.267.226,(84.170.472.816),17.232.373.206.446,13999272151203.0,1040030284250.0,1431770337999.0,150777521308.0,511251117276.0,183442267226.0,-84170472816.0,17232373206446.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.223.107.287.963,38.965.497.897,54.007.537.956,35.912.499.081,148.762.913.470,59.700.446.517,-,1.560.456.182.884,1223107287963.0,38965497897.0,54007537956.0,35912499081.0,148762913470.0,59700446517.0,,1560456182884.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,252.560.226.511,217.850.000,5.166.368.174,264.386.408,5.690.288.950,5.337.684.528,(239.031.859.852),30.204.944.719,252560226511.0,217850000.0,5166368174.0,264386408.0,5690288950.0,5337684528.0,-239031859852.0,30204944719.0
Tài sản cổ định,Tài sản > Tài sản cổ định,Tài sản cổ định,8.196.697.534.301,579.258.265.566,744.774.577.016,284.716.220.881,3.203.374.655.138,1.400.905.770.242,(125.943.701.887),14.283.783.321.257,8196697534301.0,579258265566.0,744774577016.0,284716220881.0,3203374655138.0,1400905770242.0,-125943701887.0,14283783321257.0
