row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khối xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,197.834.216.414.000,125.997.995.415.490,7.960.653.697.673,3.543.966.319.334,10.596.923.032.987,2.641.453.139.161,(74.596.032.045.166),273.979.175.973.479,197834216414000.0,125997995415490.0,7960653697673.0,3543966319334.0,10596923032987.0,2641453139161.0,-74596032045166.0,273979175973479.0
Trong đó: Doanh thu nổi bò,Trong đó: Doanh thu nổi bò,Trong đó: Doanh thu nổi bò,8.437.720.798.863,58.376.771.181.119,1.337.712.092.904,1.044.589.980.798,4.554.892.559.436,300.900.605.970,(74.596.032.045.166),(543.444.826.076),8437720798863.0,58376771181119.0,1337712092904.0,1044589980798.0,4554892559436.0,300900605970.0,-74596032045166.0,-543444826076.0
Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,189.396.495.615.137,67.621.224.234.371,6.622.941.604.769,2.499.376.338.536,6.042.030.473.551,2.340.552.533.191,-,274.522.620.799.555,189396495615137.0,67621224234371.0,6622941604769.0,2499376338536.0,6042030473551.0,2340552533191.0,,274522620799555.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(196.880.780.380.588),(125.486.286.193.443),(7.739.405.096.122),(3.428.103.355.431),(10.351.958.105.365),(2.618.098.673.672),74.700.323.496.428,(271.804.308.308.193),-196880780380588.0,-125486286193443.0,-7739405096122.0,-3428103355431.0,-10351958105365.0,-2618098673672.0,74700323496428.0,-271804308308193.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(185.110.297.031.481),(124.112.990.212.725),(6.989.854.770.392),(2.884.187.219.856),(9.647.812.331.290),(2.298.970.094.273),72.328.837.344.345,(258.715.274.315.672),-185110297031481.0,-124112990212725.0,-6989854770392.0,-2884187219856.0,-9647812331290.0,-2298970094273.0,72328837344345.0,-258715274315672.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(11.770.483.349.107),(1.355.811.091.836),(589.753.276.070),(381.522.708.901),(218.504.541.826),(195.084.350.505),2.371.486.152.083,(12.139.673.166.162),-11770483349107.0,-1355811091836.0,-589753276070.0,-381522708901.0,-218504541826.0,-195084350505.0,2371486152083.0,-12139673166162.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,-,(17.484.888.882),(159.797.049.660),(162.393.426.674),(485.641.232.249),(124.044.228.894),-,(949.360.826.359),,-17484888882.0,-159797049660.0,-162393426674.0,-485641232249.0,-124044228894.0,,-949360826359.0
Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),Lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),953.436.033.412,511.709.222.047,221.248.601.551,115.862.963.903,244.964.927.622,23.354.465.489,104.291.451.262,2.174.867.665.286,953436033412.0,511709222047.0,221248601551.0,115862963903.0,244964927622.0,23354465489.0,104291451262.0,2174867665286.0
"Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",,,,,,,,623.848.502.506,,,,,,,,623848502506.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,2.742.716.620.267,,,,,,,,2742716620267.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,(1.723.462.286.268),,,,,,,,-1723462286268.0
Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,,,,,,,,129.419.743.813,,,,,,,,129419743813.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,,,3.947.390.245.604,,,,,,,,3947390245604.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,(804.270.679.753),,,,,,,,-804270679753.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,(65.799.622.451),,,,,,,,-65799622451.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,3.077.319.943.400,,,,,,,,3077319943400.0
