row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.449.851.436.787,16.502.338.200,638.733.378.390,52.706.485.646,3.157.793.639.023,2449851436787.0,16502338200.0,638733378390.0,52706485646.0,3157793639023.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,38.976.052.889,-,22.623.967.098,-,61.600.019.987,38976052889.0,,22623967098.0,,61600019987.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,15.153.614.804,186.945.000,8.669.497.200,133.122.720,24.143.179.724,15153614804.0,186945000.0,8669497200.0,133122720.0,24143179724.0
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(228.775.919),-,(4.953.422.118),-,(5.182.198.037),-228775919.0,,-4953422118.0,,-5182198037.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(390.373.216),-,102.476.060,422.235.360,134.338.204,-390373216.0,,102476060.0,422235360.0,134338204.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.503.361.955.345,16.689.283.200,665.175.896.630,53.261.843.726,3.238.488.978.901,2503361955345.0,16689283200.0,665175896630.0,53261843726.0,3238488978901.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,265.106.859.828,13.872.825.526,523.436.920.926,30.584.346.659,833.000.952.939,265106859828.0,13872825526.0,523436920926.0,30584346659.0,833000952939.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,26.207.935.923,940.205.887,33.142.855.735,5.719.462.317,66.010.459.862,26207935923.0,940205887.0,33142855735.0,5719462317.0,66010459862.0
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(211.978.025),-,(4.953.422.118),-,(5.165.400.143),-211978025.0,,-4953422118.0,,-5165400143.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(42.197.148),(326.319.070),373.754.034,370.502.722,375.740.538,-42197148.0,-326319070.0,373754034.0,370502722.0,375740538.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,291.060.620.578,14.486.712.343,552.000.108.577,36.674.311.698,894.221.753.196,291060620578.0,14486712343.0,552000108577.0,36674311698.0,894221753196.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.184.744.576.959,2.629.512.674,115.296.457.464,22.122.138.987,2.324.792.686.084,2184744576959.0,2629512674.0,115296457464.0,22122138987.0,2324792686084.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.212.301.334.767,2.202.570.857,113.175.788.053,16.587.532.028,2.344.267.225.705,2212301334767.0,2202570857.0,113175788053.0,16587532028.0,2344267225705.0
