row_label_raw,row_label_full,col_0,Thuế suất,31/12/2023 VND,1/1/2023 VND,numeric__Thuế suất,numeric__31/12/2023 VND,numeric__1/1/2023 VND
Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,,,
Dự phòng tổn thất tài sản,Tài sản thuế thu nhập hoãn lại: > Dự phòng tổn thất tài sản,Dự phòng tổn thất tài sản,20%,31.627.745.666,19.572.941.605,0.2,31627745666.0,19572941605.0
Chi phí phải trả và các khoản dự phòng phải trả,Tài sản thuế thu nhập hoãn lại: > Chi phí phải trả và các khoản dự phòng phải trả,Chi phí phải trả và các khoản dự phòng phải trả,20%,17.707.733.674,17.073.390.180,0.2,17707733674.0,17073390180.0
Giá trị thuế của khoản lỗ mang sang,Tài sản thuế thu nhập hoãn lại: > Giá trị thuế của khoản lỗ mang sang,Giá trị thuế của khoản lỗ mang sang,20%,-,75.136.240.606,0.2,,75136240606.0
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại: > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,20%,20.276.473.675,22.487.806.391,0.2,20276473675.0,22487806391.0
Các khoản khác,Tài sản thuế thu nhập hoãn lại: > Các khoản khác,Các khoản khác,20%,1.674.031.544,579.559.355,0.2,1674031544.0,579559355.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,71.285.984.559,134.849.938.137,,71285984559.0,134849938137.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,
Dự phòng đầu tư tài chính,Thuế thu nhập hoãn lại phải trả > Dự phòng đầu tư tài chính,Dự phòng đầu tư tài chính,20%,(20.339.659.004),(19.366.746.408),0.2,-20339659004.0,-19366746408.0
Các khoản khác,Thuế thu nhập hoãn lại phải trả > Các khoản khác,Các khoản khác,20%,(1.630.479.611),(533.473.373),0.2,-1630479611.0,-533473373.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,(21.970.138.615),(19.900.219.781),,-21970138615.0,-19900219781.0
Tài sản thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,,49.315.845.944,114.949.718.356,,49315845944.0,114949718356.0
