row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,55.610.925.349,142.458.152.453,198.069.077.802,55610925349.0,142458152453.0,198069077802.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,581.234.874,581.234.874,,581234874.0,581234874.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,55.610.925.349,143.039.387.327,198.650.312.676,55610925349.0,143039387327.0,198650312676.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,31.594.686.255,45.523.934.013,77.118.620.268,31594686255.0,45523934013.0,77118620268.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,182.092.920,5.494.173.114,5.676.266.034,182092920.0,5494173114.0,5676266034.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,31.776.779.175,51.018.107.127,82.794.886.302,31776779175.0,51018107127.0,82794886302.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,24.016.239.094,96.934.218.440,120.950.457.534,24016239094.0,96934218440.0,120950457534.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,23.834.146.174,92.021.280.200,115.855.426.374,23834146174.0,92021280200.0,115855426374.0
