row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,9.988.470.775.076,2.479.647.688.849,287.643.594.652,69.346.756.213,1.061.475.522.650,161.660.746.179,-,14.048.245.083.619,9988470775076.0,2479647688849.0,287643594652.0,69346756213.0,1061475522650.0,161660746179.0,,14048245083619.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,13.536.331.220.000,-,407.074.953.209,1.204.858.624.260,1.173.584.593.325,173.773.056.683,-,16.495.622.447.477,13536331220000.0,,407074953209.0,1204858624260.0,1173584593325.0,173773056683.0,,16495622447477.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,3.260.949.932.751,9.164.655.833.200,1.231.389.994.196,415.105.982.269,440.375.975.077,210.767.176.269,(3.747.902.694.704),10.975.342.199.058,3260949932751.0,9164655833200.0,1231389994196.0,415105982269.0,440375975077.0,210767176269.0,-3747902694704.0,10975342199058.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,11.466.047.029.805,1.057.655.252.860,1.373.320.952.594,175.751.641.472,443.574.362.939,201.540.096.427,(77.975.460.460),14.639.913.875.637,11466047029805.0,1057655252860.0,1373320952594.0,175751641472.0,443574362939.0,201540096427.0,-77975460460.0,14639913875637.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,761.931.707.099,33.681.703.945,56.929.381.665,30.473.808.021,192.815.880.699,71.970.144.173,-,1.147.802.625.602,761931707099.0,33681703945.0,56929381665.0,30473808021.0,192815880699.0,71970144173.0,,1147802625602.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,255.139.770.195,275.850.000,5.169.375.674,181.468.408,3.714.045.054,5.235.472.528,(240.779.791.156),28.936.190.703,255139770195.0,275850000.0,5169375674.0,181468408.0,3714045054.0,5235472528.0,-240779791156.0,28936190703.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,8.192.321.746.670,579.823.968.314,705.948.049.273,299.420.758.895,2.717.606.778.367,1.288.433.813.296,(128.838.860.275),13.654.716.254.540,8192321746670.0,579823968314.0,705948049273.0,299420758895.0,2717606778367.0,1288433813296.0,-128838860275.0,13654716254540.0
