row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,15.475.252.414.216,5.119.562.834.717,13.370.097.214.518,864.360.346.320,56.885.119.165,34.886.157.928.936,15475252414216.0,5119562834717.0,13370097214518.0,864360346320.0,56885119165.0,34886157928936.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,97.428.842.998,170.325.375.829,94.399.371.542,37.818.401.970,531.880.983,400.503.873.322,97428842998.0,170325375829.0,94399371542.0,37818401970.0,531880983.0,400503873322.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,573.207.432.627,152.238.792.304,203.102.036.862,42.518.793.215,3.141.852.659,974.208.907.667,573207432627.0,152238792304.0,203102036862.0,42518793215.0,3141852659.0,974208907667.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(27.163.680.231),2.888.016.042,34.081.818,23.952.968.276,288.614.095,-,-27163680231.0,2888016042.0,34081818.0,23952968276.0,288614095.0,
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(77.556.876.406),(60.927.334.754),(53.605.451.328),(11.098.232.084),(40.909.092),(203.228.803.664),-77556876406.0,-60927334754.0,-53605451328.0,-11098232084.0,-40909092.0,-203228803664.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Nguyên giá > Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,(7.674.064.068),(4.563.562.630),(619.281.208),(717.885.525),18.671.156,(13.556.122.275),-7674064068.0,-4563562630.0,-619281208.0,-717885525.0,18671156.0,-13556122275.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(100.767.455),(105.101.246),-,122.752.940,-,(83.115.761),-100767455.0,-105101246.0,,122752940.0,,-83115761.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,16.033.393.301.681,5.379.419.020.262,13.613.407.972.204,956.957.145.112,60.825.228.966,36.044.002.668.225,16033393301681.0,5379419020262.0,13613407972204.0,956957145112.0,60825228966.0,36044002668225.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.834.220.506.594,3.877.155.669.636,9.467.031.033.134,717.892.502.814,30.867.581.585,22.927.167.293.763,8834220506594.0,3877155669636.0,9467031033134.0,717892502814.0,30867581585.0,22927167293763.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,739.305.065.525,350.641.702.354,819.448.352.149,90.192.341.320,5.508.635.695,2.005.096.097.043,739305065525.0,350641702354.0,819448352149.0,90192341320.0,5508635695.0,2005096097043.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(1.548.307.760),1.522.667.241,(292.053.636),306.771.259,10.922.896,-,-1548307760.0,1522667241.0,-292053636.0,306771259.0,10922896.0,
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(68.009.321.881),(60.032.187.585),(51.053.829.983),(10.994.706.778),(40.909.092),(190.130.955.319),-68009321881.0,-60032187585.0,-51053829983.0,-10994706778.0,-40909092.0,-190130955319.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,(2.304.134.556),(4.525.913.049),(1.207.453.334),(530.148.526),13.666.954,(8.553.982.511),-2304134556.0,-4525913049.0,-1207453334.0,-530148526.0,13666954.0,-8553982511.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,2.667.590,-,7.604.108,(35.085.284),-,(24.813.586),2667590.0,,7604108.0,-35085284.0,,-24813586.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,9.501.666.475.512,4.164.761.938.597,10.233.933.652.438,796.831.674.805,36.359.898.038,24.733.553.639.390,9501666475512.0,4164761938597.0,10233933652438.0,796831674805.0,36359898038.0,24733553639390.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.641.031.907.622,1.242.407.165.081,3.903.066.181.384,146.467.843.506,26.017.537.580,11.958.990.635.173,6641031907622.0,1242407165081.0,3903066181384.0,146467843506.0,26017537580.0,11958990635173.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.531.726.826.169,1.214.657.081.665,3.379.474.319.766,160.125.470.307,24.465.330.928,11.310.449.028.835,6531726826169.0,1214657081665.0,3379474319766.0,160125470307.0,24465330928.0,11310449028835.0
