row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.119.567.790.000,628.592.500,(300.394.500),2.812.989.628,1.122.708.977.628,1119567790000.0,628592500.0,-300394500.0,2812989628.0,1122708977628.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,284.578.749.930,284.578.749.930,,,,284578749930.0,284578749930.0
Phát hành cổ phiếu thường,Năm trước: > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,279.471.970.000,-,-,(279.471.970.000),-,279471970000.0,,,-279471970000.0,
Phát hành cổ phiếu ESOP,Năm trước: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,69.849.980.000,-,-,(69.849.980.000),-,69849980000.0,,,-69849980000.0,
Mua lại cổ phiếu,Năm trước: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(2.153.900.000),-,(2.153.900.000),,,-2153900000.0,,-2153900000.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.468.889.740.000,628.592.500,(2.454.294.500),(61.930.210.442),1.405.133.827.558,1468889740000.0,628592500.0,-2454294500.0,-61930210442.0,1405133827558.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.468.889.740.000,628.592.500,(2.454.294.500),(61.930.210.442),1.405.133.827.558,1468889740000.0,628592500.0,-2454294500.0,-61930210442.0,1405133827558.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,371.327.548.903,371.327.548.903,,,,371327548903.0,371327548903.0
Cổ tức công bố (*),Năm nay: > Cổ tức công bố (*),Cổ tức công bố (*),-,-,-,(219.929.263.800),(219.929.263.800),,,,-219929263800.0,-219929263800.0
Phát hành cổ phiếu ESOP (**),Năm nay: > Phát hành cổ phiếu ESOP (**),Phát hành cổ phiếu ESOP (**),70.619.530.000,-,2.690.430.000,(73.309.960.000),-,70619530000.0,,2690430000.0,-73309960000.0,
Mua lại cổ phiếu,Năm nay: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(315.300.000),-,(315.300.000),,,-315300000.0,,-315300000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.539.509.270.000,628.592.500,(79.164.500),16.158.114.661,1.556.216.812.661,1539509270000.0,628592500.0,-79164500.0,16158114661.0,1556216812661.0
