row_label_raw,row_label_full,col_0,col_1,col_2,col_3,Mẫu B09 - CTCK(Ban hành theo Thông tư số 334/2016/TT-BTCngày 27/12/2016 của Bộ Tài chính),Mẫu B09 - CTCK(Ban hành theo Thông tư số 334/2016/TT-BTCngày 27/12/2016 của Bộ Tài chính)_1,numeric__col_1,numeric__col_2,numeric__col_3,numeric__Mẫu B09 - CTCK(Ban hành theo Thông tư số 334/2016/TT-BTCngày 27/12/2016 của Bộ Tài chính),numeric__Mẫu B09 - CTCK(Ban hành theo Thông tư số 334/2016/TT-BTCngày 27/12/2016 của Bộ Tài chính)_1
(d),(d),(d),Các khoản đầu tư sẵn sàng để bán,Các khoản đầu tư sẵn sàng để bán,Các khoản đầu tư sẵn sàng để bán,Các khoản đầu tư sẵn sàng để bán,Các khoản đầu tư sẵn sàng để bán,,,,,
(d),(d),(d),Tại ngày 31 tháng 12 năm 2025,Giá gốcVND,Giá trị thị trường/Giá trị hợp lýVND,Dự phòngsuy giảm giá trịVND,Giá trị ghi sởVND,,,,,
(d),(d) > (d),(d),Cổ phiếu,47.441.988.653,(*),27.440.878.619,20.001.110.034,,47441988653.0,,27440878619.0,20001110034.0
(d),(d) > (d),(d),Trái phiếu,1.978.267.020.841,1.978.267.020.841 (**),-,1.978.267.020.841,,1978267020841.0,,,1978267020841.0
(d),(d) > (d),(d),Chứng chỉ tiền gửi,1.067.039.050.200,1.067.039.050.200,-,1.067.039.050.200,,1067039050200.0,1067039050200.0,,1067039050200.0
(d),(d) > (d),(d),,3.092.748.059.694,,27.440.878.619,3.065.307.181.075,,3092748059694.0,,27440878619.0,3065307181075.0
(d),(d),(d),Tại ngày 31 tháng 12 năm 2024,Giá gốcVND,Giá trị thị trường/Giá trị hợp lýVND,Dự phòngsuy giảm giá trịVND,Giá trị ghi sởVND,,,,,
(d),(d) > (d),(d),Cổ phiếu,117.975.345.153,(*),82.554.833.496,35.420.511.657,,117975345153.0,,82554833496.0,35420511657.0
(d),(d) > (d),(d),Trái phiếu,1.987.835.612.518,1.987.835.612.518 (**),15.845.872.480,1.971.989.740.038,,1987835612518.0,,15845872480.0,1971989740038.0
(d),(d) > (d),(d),Chứng chỉ tiền gửi,600.568.892.700,600.568.892.700,-,600.568.892.700,,600568892700.0,600568892700.0,,600568892700.0
(d),(d) > (d),(d),,2.706.379.850.371,,98.400.705.976,2.607.979.144.395,,2706379850371.0,,98400705976.0,2607979144395.0
(*),(*),(*),Tài sản tài chính này là chứng khoán vốn được hạch toán theo giá gốc trừ đi dự phòng suy giảm giá trị do không có giá niêm yết trên thị trường hoạt động và giá trị hợp lý không thể xác định được một cách đáng tin cây.,Tài sản tài chính này là chứng khoán vốn được hạch toán theo giá gốc trừ đi dự phòng suy giảm giá trị do không có giá niêm yết trên thị trường hoạt động và giá trị hợp lý không thể xác định được một cách đáng tin cây.,Tài sản tài chính này là chứng khoán vốn được hạch toán theo giá gốc trừ đi dự phòng suy giảm giá trị do không có giá niêm yết trên thị trường hoạt động và giá trị hợp lý không thể xác định được một cách đáng tin cây.,Tài sản tài chính này là chứng khoán vốn được hạch toán theo giá gốc trừ đi dự phòng suy giảm giá trị do không có giá niêm yết trên thị trường hoạt động và giá trị hợp lý không thể xác định được một cách đáng tin cây.,Tài sản tài chính này là chứng khoán vốn được hạch toán theo giá gốc trừ đi dự phòng suy giảm giá trị do không có giá niêm yết trên thị trường hoạt động và giá trị hợp lý không thể xác định được một cách đáng tin cây.,,,,,
(**),(**),(**),Giá trị hợp lý không bao gồm lãi dự thu được trình bày tại Thuyết minh 9.,Giá trị hợp lý không bao gồm lãi dự thu được trình bày tại Thuyết minh 9.,Giá trị hợp lý không bao gồm lãi dự thu được trình bày tại Thuyết minh 9.,Giá trị hợp lý không bao gồm lãi dự thu được trình bày tại Thuyết minh 9.,Giá trị hợp lý không bao gồm lãi dự thu được trình bày tại Thuyết minh 9.,,,,,
(**),(**),(**),"Tại ngày 31 tháng 12 năm 2025, các khoản trái phiếu có giá trị 230.630.767.304 VND được thế chấp tại ngân hàng để đảm bảo cho các khoản vay của Công ty (31/12/2024: Không có) (Thuyết minh 22).","Tại ngày 31 tháng 12 năm 2025, các khoản trái phiếu có giá trị 230.630.767.304 VND được thế chấp tại ngân hàng để đảm bảo cho các khoản vay của Công ty (31/12/2024: Không có) (Thuyết minh 22).","Tại ngày 31 tháng 12 năm 2025, các khoản trái phiếu có giá trị 230.630.767.304 VND được thế chấp tại ngân hàng để đảm bảo cho các khoản vay của Công ty (31/12/2024: Không có) (Thuyết minh 22).","Tại ngày 31 tháng 12 năm 2025, các khoản trái phiếu có giá trị 230.630.767.304 VND được thế chấp tại ngân hàng để đảm bảo cho các khoản vay của Công ty (31/12/2024: Không có) (Thuyết minh 22).","Tại ngày 31 tháng 12 năm 2025, các khoản trái phiếu có giá trị 230.630.767.304 VND được thế chấp tại ngân hàng để đảm bảo cho các khoản vay của Công ty (31/12/2024: Không có) (Thuyết minh 22).",,,,,
