row_label_raw,row_label_full,col_0,31/12/2025 > Số lượng Đơn vị,31/12/2025 > Giá gốc VND,31/12/2025 > Dự phòng suy giảm giá trị VND,31/12/2024 > Số lượng Đơn vị,31/12/2024 > Giá gốc VND,31/12/2024 > Dự phòng suy giảm giá trị VND,numeric__31/12/2025 > Số lượng Đơn vị,numeric__31/12/2025 > Giá gốc VND,numeric__31/12/2025 > Dự phòng suy giảm giá trị VND,numeric__31/12/2024 > Số lượng Đơn vị,numeric__31/12/2024 > Giá gốc VND,numeric__31/12/2024 > Dự phòng suy giảm giá trị VND
Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,,,,,,
Cổ phiếu chưa niêm yết,Tài sản tài chính AFS > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,47.441.988.653,(27.440.878.619),,117.975.345.153,(82.554.833.496),,47441988653.0,-27440878619.0,,117975345153.0,-82554833496.0
CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,CTCP Cảng Tân Cảng,,,,,,
Hiệp Phước,CTCP Cảng Tân Cảng > Hiệp Phước,Hiệp Phước,-,-,-,1.710.000,46.768.500.000,(28.899.000.000),,,,1710000.0,46768500000.0,-28899000000.0
TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,TCT Công nghệ Năng lượng,,,,,,
Dầu khí Việt Nam,TCT Công nghệ Năng lượng > Dầu khí Việt Nam,Dầu khí Việt Nam,2.500.000,30.000.000.000,(16.750.000.000),2.500.000,30.000.000.000,(16.750.000.000),2500000.0,30000000000.0,-16750000000.0,2500000.0,30000000000.0,-16750000000.0
CTCP Chế biến Thủy sản Út Xi,TCT Công nghệ Năng lượng > CTCP Chế biến Thủy sản Út Xi,CTCP Chế biến Thủy sản Út Xi,-,-,-,894.705,26.214.856.500,(26.214.856.500),,,,894705.0,26214856500.0,-26214856500.0
CTCP công nghiệp cao su,CTCP công nghiệp cao su,CTCP công nghiệp cao su,CTCP công nghiệp cao su,CTCP công nghiệp cao su,CTCP công nghiệp cao su,CTCP công nghiệp cao su,CTCP công nghiệp cao su,CTCP công nghiệp cao su,,,,,,
COECCO,CTCP công nghiệp cao su > COECCO,COECCO,492.000,7.380.000.000,(4.182.000.000),492.000,7.380.000.000,(4.182.000.000),492000.0,7380000000.0,-4182000000.0,492000.0,7380000000.0,-4182000000.0
Công ty Cổ phần Viet Lotus,CTCP công nghiệp cao su > Công ty Cổ phần Viet Lotus,Công ty Cổ phần Viet Lotus,457.300,4.573.000.000,(3.508.878.619),457.300,4.573.000.000,(3.508.976.996),457300.0,4573000000.0,-3508878619.0,457300.0,4573000000.0,-3508976996.0
CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,CTCP Dịch vụ Tài sản mã hoá,,,,,,
Dolphinex,CTCP Dịch vụ Tài sản mã hoá > Dolphinex,Dolphinex,245.000,2.450.000.000,-,-,-,-,245000.0,2450000000.0,,,,
Cổ phiếu chưa niêm yết khác,CTCP Dịch vụ Tài sản mã hoá > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,301.512,3.038.988.653,(3.000.000.000),301.512,3.038.988.653,(3.000.000.000),301512.0,3038988653.0,-3000000000.0,301512.0,3038988653.0,-3000000000.0
Trái phiếu chưa niêm yết,CTCP Dịch vụ Tài sản mã hoá > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,18.314,1.978.267.020.841,-,6.530.709,1.987.835.612.518,(15.845.872.480),18314.0,1978267020841.0,,6530709.0,1987835612518.0,-15845872480.0
Chứng chỉ tiền gửi,CTCP Dịch vụ Tài sản mã hoá > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,1.050,1.067.039.050.200,-,600,600.568.892.700,-,1050.0,1067039050200.0,,600.0,600568892700.0,
,,,,3.092.748.059.694,(27.440.878.619),,2.706.379.850.371,(98.400.705.976),,3092748059694.0,-27440878619.0,,2706379850371.0,-98400705976.0
