row_label_raw,row_label_full,col_0,col_1,Mã số,Năm 2025 VND,Năm 2024 VND,numeric__col_1,numeric__Mã số,numeric__Năm 2025 VND,numeric__Năm 2024 VND
I.,I.,I.,"Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",,,,,,,
1.,I. > 1.,1.,Tiền thu bán chứng khoán môi giới cho khách hàng,01,372.162.789.883.927,243.148.294.750.444,,1.0,372162789883927.0,243148294750444.0
2.,I. > 2.,2.,Tiền chi mua chứng khoán môi giới cho khách hàng,02,(382.148.827.732.299),(247.997.854.109.762),,2.0,-382148827732299.0,-247997854109762.0
7.,I. > 7.,7.,Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,07,11.188.766.988.121,3.995.867.134.532,,7.0,11188766988121.0,3995867134532.0
11.,I. > 11.,11.,Chỉ trả phí lưu ký chứng khoán của khách hàng,09,(21.514.744.740),(16.473.190.813),,9.0,-21514744740.0,-16473190813.0
14.,I. > 14.,14.,Tiền thu của Tổ chức phát hành chứng khoán,14,2.192.598.756.070,2.576.995.057.278,,14.0,2192598756070.0,2576995057278.0
15.,I. > 15.,15.,Tiền chi trả Tổ chức phát hành chứng khoán,15,(2.099.967.191.070),(2.580.405.881.278),,15.0,-2099967191070.0,-2580405881278.0
,,,Tăng/(giảm) tiền thuần trong năm,20,1.273.845.960.009,(873.576.239.599),,20.0,1273845960009.0,-873576239599.0
II.,I. > II.,II.,Tiền và các khoản tương đương tiền đầu năm của khách hàng,30,3.358.932.288.854,4.232.508.528.453,,30.0,3358932288854.0,4232508528453.0
II.,I. > II.,II.,Tiền gửi ngân hàng đầu năm:,31,3.358.932.288.854,4.232.508.528.453,,31.0,3358932288854.0,4232508528453.0
II.,I. > II.,II.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,32,2.910.908.869.249,3.897.146.498.014,,32.0,2910908869249.0,3897146498014.0
II.,I. > II.,II.,- Tiền gửi ký quỹ của Nhà đầu tư,32.1,270.501.223.230,133.652.638.234,,321.0,270501223230.0,133652638234.0
II.,I. > II.,II.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,33,171.589.439.729,192.365.811.559,,33.0,171589439729.0,192365811559.0
II.,I. > II.,II.,- Tiền gửi của Tổ chức phát hành chứng khoán,35,5.932.756.646,9.343.580.646,,35.0,5932756646.0,9343580646.0
III.,I. > III.,III.,Tiền và các khoản tương đương tiền cuối năm của khách hàng (40 = 20 + 30),40,4.632.778.248.863,3.358.932.288.854,,40.0,4632778248863.0,3358932288854.0
III.,I. > III.,III.,Tiền gửi ngân hàng cuối năm,41,4.632.778.248.863,3.358.932.288.854,,41.0,4632778248863.0,3358932288854.0
III.,I. > III.,III.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức công ty chứng khoán quản lý,42,4.249.811.256.637,2.910.908.869.249,,42.0,4249811256637.0,2910908869249.0
III.,I. > III.,III.,- Tiền gửi ký quỹ của Nhà đầu tư,42.1,182.797.580.852,270.501.223.230,,421.0,182797580852.0,270501223230.0
III.,I. > III.,III.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,43,101.605.089.728,171.589.439.729,,43.0,101605089728.0,171589439729.0
III.,I. > III.,III.,- Tiền gửi của Tổ chức phát hành chứng khoán,45,98.564.321.646,5.932.756.646,,45.0,98564321646.0,5932756646.0
