row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,4.376.699.930.000,-,(753.511.600),24.516.764.528,1.625.982.305,636.107.333.361,5.038.196.498.594,4376699930000.0,,-753511600.0,24516764528.0,1625982305.0,636107333361.0,5038196498594.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,743.553.182.565,743.553.182.565,,,,,,743553182565.0,743553182565.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,-,9.901.273,-,-,-,9.901.273,,,9901273.0,,,,9901273.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(525.167.942.400),(525.167.942.400),,,,,,-525167942400.0,-525167942400.0
Phát hành cổ phiếu cho cổ đông hiện hữu,Phát hành cổ phiếu cho cổ đông hiện hữu,Phát hành cổ phiếu cho cổ đông hiện hữu,1.094.099.880.000,-,-,-,-,-,1.094.099.880.000,1094099880000.0,,,,,,1094099880000.0
Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp,Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp,Phát hành cổ phiếu cho nhà đầu tư chứng khoán chuyên nghiệp,257.330.000.000,335.558.320.000,-,-,-,-,592.888.320.000,257330000000.0,335558320000.0,,,,,592888320000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(35.040.983.420),(35.040.983.420),,,,,,-35040983420.0,-35040983420.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,5.728.129.810.000,335.558.320.000,(743.610.327),24.516.764.528,1.625.982.305,819.451.590.106,6.908.538.856.612,5728129810000.0,335558320000.0,-743610327.0,24516764528.0,1625982305.0,819451590106.0,6908538856612.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,1.130.872.997.059,1.130.872.997.059,,,,,,1130872997059.0,1130872997059.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(687.339.528.000),(687.339.528.000),,,,,,-687339528000.0,-687339528000.0
Phát hành cổ phiếu cho cổ đông hiện hữu (*),Phát hành cổ phiếu cho cổ đông hiện hữu (*),Phát hành cổ phiếu cho cổ đông hiện hữu (*),687.339.530.000,-,-,-,-,-,687.339.530.000,687339530000.0,,,,,,687339530000.0
Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),171.798.530.000,(171.798.530.000),-,-,-,-,-,171798530000.0,-171798530000.0,,,,,
"Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,-,-,(44.613.190.954),(44.613.190.954),,,,,,-44613190954.0,-44613190954.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,6.587.267.870.000,163.759.790.000,(743.610.327),24.516.764.528,1.625.982.305,1.218.371.868.211,7.994.798.664.717,6587267870000.0,163759790000.0,-743610327.0,24516764528.0,1625982305.0,1218371868211.0,7994798664717.0
