row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Các bộ phận khác VND,numeric__Tổng cộng VND
Doanh thu thuần hoạt động kinh doanh,Doanh thu thuần hoạt động kinh doanh,Doanh thu thuần hoạt động kinh doanh,1.713.102.779.411,1.339.842.211.615,25.797.143.800,46.485.969.604,3.125.228.104.430,1713102779411.0,1339842211615.0,25797143800.0,46485969604.0,3125228104430.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,3.365.015.143,2.631.826.523,50.672.838,91.311.504,6.138.826.008,3365015143.0,2631826523.0,50672838.0,91311504.0,6138826008.0
Các chi phí trực tiếp,Các chi phí trực tiếp,Các chi phí trực tiếp,(540.825.358.688),(856.398.948.442),(12.361.379.587),(215.679.072),(1.409.801.365.789),-540825358688.0,-856398948442.0,-12361379587.0,-215679072.0,-1409801365789.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,(296.686.585.798),(232.042.826.648),(4.467.721.732),(8.050.750.822),(541.247.885.000),-296686585798.0,-232042826648.0,-4467721732.0,-8050750822.0,-541247885000.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(5.467.928.121),(4.276.544.872),(82.340.026),(148.375.185),(9.975.188.204),-5467928121.0,-4276544872.0,-82340026.0,-148375185.0,-9975188204.0
Chi phí quản lý công ty chứng khoán,Chi phí quản lý công ty chứng khoán,Chi phí quản lý công ty chứng khoán,(131.391.389.984),(102.763.087.340),(1.978.586.820),(3.565.376.366),(239.698.440.510),-131391389984.0,-102763087340.0,-1978586820.0,-3565376366.0,-239698440510.0
Lợi nhuận thuần từ hoạt động kinh doanh trước thuế,Lợi nhuận thuần từ hoạt động kinh doanh trước thuế,Lợi nhuận thuần từ hoạt động kinh doanh trước thuế,742.096.531.963,146.992.630.836,6.957.788.473,34.597.099.663,930.644.050.935,742096531963.0,146992630836.0,6957788473.0,34597099663.0,930644050935.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,,
,,,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Các bộ phận khác VND,Tổng cộng VND,,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2024 > Tài sản bộ phận,Tài sản bộ phận,10.293.729.065.183,9.796.247.937.199,1.617.004.951,22.142.549.167,20.113.736.556.500,10293729065183.0,9796247937199.0,1617004951.0,22142549167.0,20113736556500.0
Tài sản phân bổ,Tại ngày 31 tháng 12 năm 2024 > Tài sản phân bổ,Tài sản phân bổ,1.104.082.764.632,863.518.938.238,16.626.078.825,33.916.312.860,2.018.144.094.555,1104082764632.0,863518938238.0,16626078825.0,33916312860.0,2018144094555.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2024 > Tổng tài sản,Tổng tài sản,11.397.811.829.815,10.659.766.875.437,18.243.083.776,56.058.862.027,22.131.880.651.055,11397811829815.0,10659766875437.0,18243083776.0,56058862027.0,22131880651055.0
Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2024 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,21.551.998.147,683.151.902.000,-,-,704.703.900.147,21551998147.0,683151902000.0,,,704703900147.0
Nợ phải trả phân bổ,Tại ngày 31 tháng 12 năm 2024 > Nợ phải trả phân bổ,Nợ phải trả phân bổ,7.942.831.192.415,6.212.201.999.339,119.608.911.335,243.995.791.207,14.518.637.894.296,7942831192415.0,6212201999339.0,119608911335.0,243995791207.0,14518637894296.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2024 > Tổng nợ phải trả,Tổng nợ phải trả,7.964.383.190.562,6.895.353.901.339,119.608.911.335,243.995.791.207,15.223.341.794.443,7964383190562.0,6895353901339.0,119608911335.0,243995791207.0,15223341794443.0
