row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,294.738.669.524,9.375.998.635,9.358.313.555,313.472.981.714,294738669524.0,9375998635.0,9358313555.0,313472981714.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,12.074.120.000,-,166.200.000,12.240.320.000,12074120000.0,,166200000.0,12240320000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(19.305.423.694),-,(510.890.189),(19.816.313.883),-19305423694.0,,-510890189.0,-19816313883.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,287.507.365.830,9.375.998.635,9.013.623.366,305.896.987.831,287507365830.0,9375998635.0,9013623366.0,305896987831.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,174.549.038.498,3.567.092.443,8.637.244.360,186.753.375.301,174549038498.0,3567092443.0,8637244360.0,186753375301.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,38.980.033.608,1.314.968.308,313.095.129,40.608.097.045,38980033608.0,1314968308.0,313095129.0,40608097045.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(19.305.423.694),-,(510.890.189),(19.816.313.883),-19305423694.0,,-510890189.0,-19816313883.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,194.223.648.412,4.882.060.751,8.439.449.300,207.545.158.463,194223648412.0,4882060751.0,8439449300.0,207545158463.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,120.189.631.026,5.808.906.192,721.069.195,126.719.606.413,120189631026.0,5808906192.0,721069195.0,126719606413.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,93.283.717.418,4.493.937.884,574.174.066,98.351.829.368,93283717418.0,4493937884.0,574174066.0,98351829368.0
