row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
I.,I.,I.,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,,,,,
1.1.,I. > 1.1.,1.1.,"Lãi từ các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ) (""FVTPL"")",01,,718.966.140.991,983.233.565.283,,1.0,,718966140991.0,983233565283.0
a.,I. > a.,a.,Lãi từ bán các tài sản tài chính FVTPL,01.1,32,689.662.806.610,970.676.311.987,,11.0,32.0,689662806610.0,970676311987.0
b.,I. > b.,b.,Chênh lệch tăng về đánh giá lại các tài sản tài chính FVTPL,01.2,34,(4.963.443.133),9.815.531.028,,12.0,34.0,-4963443133.0,9815531028.0
c.,I. > c.,c.,"Cổ tức, tiền lãi phát sinh từ tài sản tài chính FVTPL",01.3,35(a),16.255.966.800,2.708.649.200,,13.0,,16255966800.0,2708649200.0
d.,I. > d.,d.,Chênh lệch giảm về đánh giá lại chứng quyền,01.4,34,18.010.810.714,33.073.068,,14.0,34.0,18010810714.0,33073068.0
1.2.,I. > 1.2.,1.2.,Lãi từ các khoản đầu tư nằm giữ đến ngày đáo hạn,02,35(b),331.985.336.263,181.719.364.918,,2.0,,331985336263.0,181719364918.0
1.3.,I. > 1.3.,1.3.,Lãi từ các khoản cho vay và phải thu,03,35(c),1.423.116.839.942,1.056.131.145.711,,3.0,,1423116839942.0,1056131145711.0
1.4.,I. > 1.4.,1.4.,Lãi từ các tài sản tài chính sẵn sàng để bán,04,35(d),129.781.478.132,174.889.281.414,,4.0,,129781478132.0,174889281414.0
1.6.,I. > 1.6.,1.6.,Doanh thu nghiệp vụ môi giới chứng khoán,06,36,923.466.458.403,628.154.571.742,,6.0,36.0,923466458403.0,628154571742.0
1.7.,I. > 1.7.,1.7.,"Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",07,,553.222.154,200.000.000,,7.0,,553222154.0,200000000.0
1.9.,I. > 1.9.,1.9.,Doanh thu nghiệp vụ lưu ký chứng khoán,09,,41.902.196.441,28.817.061.958,,9.0,,41902196441.0,28817061958.0
1.10.,I. > 1.10.,1.10.,Doanh thu hoạt động tư vấn tài chính,10,37,9.946.288.303,25.597.143.800,,10.0,37.0,9946288303.0,25597143800.0
1.11.,I. > 1.11.,1.11.,Thu nhập hoạt động khác,11,38,59.707.184.828,41.625.341.201,,11.0,38.0,59707184828.0,41625341201.0
,,,Cộng doanh thu hoạt động,20,,3.639.425.145.457,3.120.367.476.027,,20.0,,3639425145457.0,3120367476027.0
II.,II.,II.,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,,,,,
2.1.,II. > 2.1.,2.1.,Lỗ các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ),21,,378.129.893.259,797.146.221.181,,21.0,,378129893259.0,797146221181.0
a.,II. > a.,a.,Lỗ từ bán các tài sản tài chính FVTPL,21.1,33,341.533.024.100,794.146.495.404,,211.0,33.0,341533024100.0,794146495404.0
b.,II. > b.,b.,Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,21.2,34,27.776.023.059,(35.991.852),,212.0,34.0,27776023059.0,-35991852.0
c.,II. > c.,c.,Chi phí giao dịch mua các tài sản tài chính FVTPL,21.3,,5.365.687.955,2.789.095.217,,213.0,,5365687955.0,2789095217.0
d.,II. > d.,d.,Chênh lệch tăng về đánh giá lại chứng quyền,21.4,,3.455.158.145,246.622.412,,214.0,,3455158145.0,246622412.0
2.4.,II. > 2.4.,2.4.,"(Hoàn nhập)/chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay",24,39,(105.482.481.734),43.620.280.002,,24.0,39.0,-105482481734.0,43620280002.0
2.6,II. > 2.6,2.6,Chi phí hoạt động tự doanh,26,40,30.544.610.281,15.632.447.259,,26.0,40.0,30544610281.0,15632447259.0
2.7.,II. > 2.7.,2.7.,Chi phí nghiệp vụ môi giới chứng khoán,27,41,766.107.385.017,517.456.606.990,,27.0,41.0,766107385017.0,517456606990.0
2.8,II. > 2.8,2.8,Chi phí nghiệp vụ bảo lãnh đại lý phát hành chứng khoán,28,,1.499.988,1.499.988,,28.0,,1499988.0,1499988.0
