row_label_raw,row_label_full,CHÌ TIÊU,CHÌ TIÊU_1,Số dư đầu năm > 1/1/2024VND,Số dư đầu năm > 1/1/2025VND,Số tăng/(giảm) > Năm 2024TăngVND,Số tăng/(giảm) > (Giảm)VND,Số tăng/(giảm) > TăngVND,Số tăng/(giảm) > (Giảm)VND_1,Số dư cuối năm > 31/12/2024VND,Số dư cuối năm > 31/12/2025VND,numeric__CHÌ TIÊU_1,numeric__Số dư đầu năm > 1/1/2024VND,numeric__Số dư đầu năm > 1/1/2025VND,numeric__Số tăng/(giảm) > Năm 2024TăngVND,numeric__Số tăng/(giảm) > (Giảm)VND,numeric__Số tăng/(giảm) > TăngVND,numeric__Số tăng/(giảm) > (Giảm)VND_1,numeric__Số dư cuối năm > 31/12/2024VND,numeric__Số dư cuối năm > 31/12/2025VND
I.,I.,I.,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,Biến động vốn chủ sở hữu,,,,,,,,,
1.,I. > 1.,1.,Vốn đầu tư củachủ sở hữu,4.375.946.418.400,6.062.944.519.673,1.686.998.101.273,,-,859.138.060.000,171.798.530.000,6.062.944.519.673,,4375946418400.0,6062944519673.0,1686998101273.0,,,859138060000.0,171798530000.0,6062944519673.0
1.1.,I. > 1.1.,1.1.,Cổ phiếu phổ thông,4.376.699.930.000,5.728.129.810.000,1.351.429.880.000,,-,859.138.060.000,-,5.728.129.810.000,,4376699930000.0,5728129810000.0,1351429880000.0,,,859138060000.0,,5728129810000.0
1.2.,I. > 1.2.,1.2.,Cổ phiếu quỹ,(753.511.600),(743.610.327),9.901.273,,-,-,-,(743.610.327),,-753511600.0,-743610327.0,9901273.0,,,,,-743610327.0
1.3.,I. > 1.3.,1.3.,Thặng dư vốn cổ phần,-,335.558.320.000,335.558.320.000,,-,-,171.798.530.000,335.558.320.000,,,335558320000.0,335558320000.0,,,,171798530000.0,335558320000.0
4.,I. > 4.,4.,Quỹ dự phòng tài chínhvà rủi ro nghiệp vụ,24.516.764.528,24.516.764.528,-,,-,-,-,24.516.764.528,,24516764528.0,24516764528.0,,,,,,24516764528.0
7.,I. > 7.,7.,Các quỹ khác thuộcvốn chủ sở hữu,1.625.982.305,1.625.982.305,-,,-,-,-,1.625.982.305,,1625982305.0,1625982305.0,,,,,,1625982305.0
8.,I. > 8.,8.,Lợi nhuậnchưa phân phối,636.107.333.361,819.451.590.106,743.553.182.565,560.208.925.820,1.157.410.281.166,758.490.003.061,819.451.590.106,1.218.371.868.211,,636107333361.0,819451590106.0,743553182565.0,560208925820.0,1157410281166.0,758490003061.0,819451590106.0,1218371868211.0
8.1.,I. > 8.1.,8.1.,Lợi nhuận đã thực hiện,618.419.678.969,789.317.719.875,731.106.966.726,560.208.925.820,1.157.410.281.166,731.952.718.954,789.317.719.875,1.214.775.282.087,,618419678969.0,789317719875.0,731106966726.0,560208925820.0,1157410281166.0,731952718954.0,789317719875.0,1214775282087.0
8.2.,I. > 8.2.,8.2.,Lợi nhuận churathực hiện,17.687.654.392,30.133.870.231,12.446.215.839,,-,26.537.284.107,30.133.870.231,3.596.586.124,,17687654392.0,30133870231.0,12446215839.0,,,26537284107.0,30133870231.0,3596586124.0
,,,TỔNG CỘNG,5.038.196.498.594,6.908.538.856.612,2.430.551.283.838,560.208.925.820,2.016.548.341.166,930.288.533.061,6.908.538.856.612,7.994.798.664.717,,5038196498594.0,6908538856612.0,2430551283838.0,560208925820.0,2016548341166.0,930288533061.0,6908538856612.0,7994798664717.0
