row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2025 > Phải thu VND > -,1/1/2025 > Phải trả VND > 665.817.542,Số phải nộp trong năm VND > 6.961.529.125,Số đã nộp trong năm VND > 6.782.895.906,31/12/2025 > Phải thu VND > -,31/12/2025 > Phải trả VND > 844.450.761,numeric__1/1/2025 > Phải thu VND > -,numeric__1/1/2025 > Phải trả VND > 665.817.542,numeric__Số phải nộp trong năm VND > 6.961.529.125,numeric__Số đã nộp trong năm VND > 6.782.895.906,numeric__31/12/2025 > Phải thu VND > -,numeric__31/12/2025 > Phải trả VND > 844.450.761
Thuế TNDN,Thuế TNDN,Thuế TNDN,-,87.275.739.781,275.779.864.165,218.981.446.448,-,144.074.157.498,,87275739781.0,275779864165.0,218981446448.0,,144074157498.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,17.529.222,31.262.078.584,606.466.486.242,598.468.343.347,17.529.222,39.260.221.479,17529222.0,31262078584.0,606466486242.0,598468343347.0,17529222.0,39260221479.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,1.106.875.338,9.069.629.995,9.467.915.649,-,708.589.684,,1106875338.0,9069629995.0,9467915649.0,,708589684.0
,,,17.529.222,120.310.511.245,898.277.509.527,833.700.601.350,17.529.222,184.887.419.422,17529222.0,120310511245.0,898277509527.0,833700601350.0,17529222.0,184887419422.0
Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,,,,,,
,,,1/1/2024,1/1/2024,Số phải nộp trong năm VND,Số đã nộp trong năm VND,31/12/2024,31/12/2024,,,,,,
,,,Phải thu VND,Phải trả VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Phải thu VND,Phải trả VND,,,,,,
Thuế giá trị gia tăng,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,179.119.059,4.609.215.001,4.122.516.518,-,665.817.542,,179119059.0,4609215001.0,4122516518.0,,665817542.0
Thuế TNDN,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Thuế TNDN,Thuế TNDN,-,50.662.586.190,188.516.830.206,151.903.676.615,-,87.275.739.781,,50662586190.0,188516830206.0,151903676615.0,,87275739781.0
Thuế thu nhập cá nhân,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,17.529.222,25.681.797.442,396.381.199.258,390.800.918.116,17.529.222,31.262.078.584,17529222.0,25681797442.0,396381199258.0,390800918116.0,17529222.0,31262078584.0
Các loại thuế khác,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Các loại thuế khác,Các loại thuế khác,-,189.380.983,7.317.580.675,6.400.086.320,-,1.106.875.338,,189380983.0,7317580675.0,6400086320.0,,1106875338.0
,,,17.529.222,76.712.883.674,596.824.825.140,553.227.197.569,17.529.222,120.310.511.245,17529222.0,76712883674.0,596824825140.0,553227197569.0,17529222.0,120310511245.0
