row_label_raw,row_label_full,col_0,Giá gốc VND,Chênh lệch tăng VND,Chênh lệch giảm VND,Giá trị đánh giá lại/ Giá trị hợp lý VND,numeric__Giá gốc VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND,numeric__Giá trị đánh giá lại/ Giá trị hợp lý VND
Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,Tài sản tài chính FVTPL,,,,
Cổ phiếu,Tài sản tài chính FVTPL > Cổ phiếu,Cổ phiếu,170.420.917.644,5.514.892.311,(27.844.074.564),148.091.735.391,170420917644.0,5514892311.0,-27844074564.0,148091735391.0
Trái phiếu,Tài sản tài chính FVTPL > Trái phiếu,Trái phiếu,1.029.212.500.000,-,-,1.029.212.500.000,1029212500000.0,,,1029212500000.0
Chứng chỉ tiền gửi,Tài sản tài chính FVTPL > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,1.882.549.216.342,-,-,1.882.549.216.342,1882549216342.0,,,1882549216342.0
Chứng chỉ quỹ,Tài sản tài chính FVTPL > Chứng chỉ quỹ,Chứng chỉ quỹ,35.164.108.659,9.465.582.341,-,44.629.691.000,35164108659.0,9465582341.0,,44629691000.0
,,,3.117.346.742.645,14.980.474.652,(27.844.074.564),3.104.483.142.733,3117346742645.0,14980474652.0,-27844074564.0,3104483142733.0
Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,,,,
Trái phiếu (*),Tài sản tài chính AFS > Trái phiếu (*),Trái phiếu (*),1.978.267.020.841,-,-,1.978.267.020.841,1978267020841.0,,,1978267020841.0
Chứng chỉ tiền gửi,Tài sản tài chính AFS > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,1.067.039.050.200,-,-,1.067.039.050.200,1067039050200.0,,,1067039050200.0
,,,3.045.306.071.041,-,-,3.045.306.071.041,3045306071041.0,,,3045306071041.0
Tổng cộng,Tài sản tài chính AFS > Tổng cộng,Tổng cộng,6.162.652.813.686,14.980.474.652,(27.844.074.564),6.149.789.213.774,6162652813686.0,14980474652.0,-27844074564.0,6149789213774.0
