row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,31/12/2025 VND,31/12/2024 VND,numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__31/12/2024 VND
B.,B.,B.,TÀI SẢN DÀI HẠN(200 = 220 + 250),200,,206.112.065.455,258.309.153.265,,200.0,,206112065455.0,258309153265.0
II.,II.,II.,Tài sản cố định,220,,117.056.997.413,155.678.821.099,,220.0,,117056997413.0,155678821099.0
1.,1.,1.,Tài sản cố định hữu hình,221,16,98.351.829.368,126.719.606.413,,221.0,16.0,98351829368.0,126719606413.0
1.,1.,1.,- Nguyên giá,222,,305.896.987.831,313.472.981.714,,222.0,,305896987831.0,313472981714.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223a,,(207.545.158.463),(186.753.375.301),,,,-207545158463.0,-186753375301.0
3.,3.,3.,Tài sản cố định vô hình,227,17,18.705.168.045,28.959.214.686,,227.0,17.0,18705168045.0,28959214686.0
3.,3.,3.,- Nguyên giá,228,,105.827.937.576,103.045.231.066,,228.0,,105827937576.0,103045231066.0
3.,3.,3.,- Giá trị hao mòn lũy kế,229a,,(87.122.769.531),(74.086.016.380),,,,-87122769531.0,-74086016380.0
V.,V.,V.,Tài sản dài hạn khác,250,,89.055.068.042,102.630.332.166,,250.0,,89055068042.0,102630332166.0
1.,1.,1.,"Cảm cố, thế chấp, ký quỹ,ký cược dài hạn",251,15(b),2.494.566.867,2.514.566.867,,251.0,,2494566867.0,2514566867.0
2.,2.,2.,Chi phí trả trước dài hạn,252,18,54.244.781.580,59.466.924.868,,252.0,18.0,54244781580.0,59466924868.0
3.,3.,3.,Tài sản thuế thu nhập hoãn lại,253,19,2.124.489.351,10.477.959.835,,253.0,19.0,2124489351.0,10477959835.0
4.,4.,4.,Tiền nộp Quỹ Hö trợ thanh toán,254,20,20.000.000.000,20.000.000.000,,254.0,20.0,20000000000.0,20000000000.0
5.,5.,5.,Tài sản dài hạn khác,255,21,10.191.230.244,10.170.880.596,,255.0,21.0,10191230244.0,10170880596.0
,,,TỔNG TÀI SẢN(270 = 100 + 200),270,,30.776.329.985.842,22.131.880.651.055,,270.0,,30776329985842.0,22131880651055.0
