row_label_raw,row_label_full,Thời gian quá hạn,Mức trích dự phòng,numeric__Mức trích dự phòng
Từ trên sáu (6) tháng đến dưới một (1) năm,Từ trên sáu (6) tháng đến dưới một (1) năm,Từ trên sáu (6) tháng đến dưới một (1) năm,30%,0.3
Từ một (1) năm đến dưới hai (2) năm,Từ một (1) năm đến dưới hai (2) năm,Từ một (1) năm đến dưới hai (2) năm,50%,0.5
Từ hai (2) năm đến dưới ba (3) năm,Từ hai (2) năm đến dưới ba (3) năm,Từ hai (2) năm đến dưới ba (3) năm,70%,0.7
Trên ba (3) năm,Trên ba (3) năm,Trên ba (3) năm,100%,1.0
