row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2025VND,Giá trị ghi sổ > 31/12/2024VND,numeric__Giá trị ghi sổ > 31/12/2025VND,numeric__Giá trị ghi sổ > 31/12/2024VND
Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn,Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn,Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn,,,,
Tiền và các khoản tương đương tiền,Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.431.266.116.691,1.773.543.835.124,2431266116691.0,1773543835124.0
Các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ),Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn > Các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ),Các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ),2.911.761.716.342,1.746.355.135.567,2911761716342.0,1746355135567.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,6.714.472.421.784,4.994.512.493.078,6714472421784.0,4994512493078.0
Các khoản cho vay,Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn > Các khoản cho vay,Các khoản cho vay,15.040.584.813.320,10.293.729.065.183,15040584813320.0,10293729065183.0
Tài sản tài chính sẵn sàng để bán,Các công cụ tài chính có lãi suất cố địnhTài sản tài chính ngắn hạn > Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,1.067.039.050.200,1.454.187.945.427,1067039050200.0,1454187945427.0
Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,Tài sản tài chính dài hạn,,,,
Tiền nộp Quỹ Hồ trợ thanh toán,Tài sản tài chính dài hạn > Tiền nộp Quỹ Hồ trợ thanh toán,Tiền nộp Quỹ Hồ trợ thanh toán,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
,,,28.185.124.118.337,20.282.328.474.379,28185124118337.0,20282328474379.0
Nợ phải trả tài chínhVay ngắn hạn,Tài sản tài chính dài hạn > Nợ phải trả tài chínhVay ngắn hạn,Nợ phải trả tài chínhVay ngắn hạn,17.730.048.954.174,13.069.703.217.309,17730048954174.0,13069703217309.0
,,,10.455.075.164.163,7.212.625.257.070,10455075164163.0,7212625257070.0
Các công cụ tài chính có lãi suất thả nổiTài sản tài chính ngắn hạn,Các công cụ tài chính có lãi suất thả nổiTài sản tài chính ngắn hạn,Các công cụ tài chính có lãi suất thả nổiTài sản tài chính ngắn hạn,,,,
Tài sản tài chính sẵn sàng để bán,Các công cụ tài chính có lãi suất thả nổiTài sản tài chính ngắn hạn > Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,1.978.267.020.841,1.134.216.559.791,1978267020841.0,1134216559791.0
Nợ phải trả tài chínhTrái phiếu phát hành dài hạn,Các công cụ tài chính có lãi suất thả nổiTài sản tài chính ngắn hạn > Nợ phải trả tài chínhTrái phiếu phát hành dài hạn,Nợ phải trả tài chínhTrái phiếu phát hành dài hạn,1.561.581.556.689,1.061.355.556.681,1561581556689.0,1061355556681.0
,,,416.685.464.152,72.861.003.110,416685464152.0,72861003110.0
