row_label_raw,row_label_full,col_0,Phần mềm máy vi tính,Phần mềm máy vi tính_1,numeric__Phần mềm máy vi tính,numeric__Phần mềm máy vi tính_1
,,,Năm 2025 VND,Năm 2024 VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,103.045.231.066,105.202.602.066,103045231066.0,105202602066.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.782.706.510,3.994.239.000,2782706510.0,3994239000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(6.151.610.000),,-6151610000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,105.827.937.576,103.045.231.066,105827937576.0,103045231066.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,74.086.016.380,60.828.362.830,74086016380.0,60828362830.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,13.037.138.232,19.409.263.550,13037138232.0,19409263550.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(6.151.610.000),,-6151610000.0
Điều chỉnh khác,Giá trị hao mòn lũy kế > Điều chỉnh khác,Điều chỉnh khác,(385.081),-,-385081.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,87.122.769.531,74.086.016.380,87122769531.0,74086016380.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,28.959.214.686,44.374.239.236,28959214686.0,44374239236.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.705.168.045,28.959.214.686,18705168045.0,28959214686.0
