row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế TNDN,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế TNDN,1. Lợi nhuận trước thuế TNDN,01,,1.415.006.331.708,930.644.050.935,1.0,,1415006331708.0,930644050935.0
2. Điều chỉnh cho các khoản:,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,02,,713.198.834.655,467.806.712.026,2.0,,713198834655.0,467806712026.0
- Khấu hao tài sản cố định,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,03,,53.645.235.277,60.909.312.223,3.0,,53645235277.0,60909312223.0
- Các khoản dự phòng,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Các khoản dự phòng,- Các khoản dự phòng,04,,(104.706.581.722),43.908.765.761,4.0,,-104706581722.0,43908765761.0
- Lãi chênh lệch tỷ giá hối đoái chưa thực hiện,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Lãi chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi chênh lệch tỷ giá hối đoái chưa thực hiện,05,,(77.617),(91.861),5.0,,-77617.0,-91861.0
"- Chi phí lãi vay, lãi trái phiếu phát hành","I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Chi phí lãi vay, lãi trái phiếu phát hành","- Chi phí lãi vay, lãi trái phiếu phát hành",06,,844.353.981.743,541.247.874.447,6.0,,844353981743.0,541247874447.0
- Lãi từ hoạt động đầu tư,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Lãi từ hoạt động đầu tư,- Lãi từ hoạt động đầu tư,07,,(7.004.894.228),(6.525.541.776),7.0,,-7004894228.0,-6525541776.0
- Dự thu tiền lãi,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Dự thu tiền lãi,- Dự thu tiền lãi,08,,(73.088.443.717),(171.733.606.768),8.0,,-73088443717.0,-171733606768.0
- Các khoản điều chỉnh khác,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,09,,(385.081),-,9.0,,-385081.0,
3. Tăng các chi phí phi tiền tệ,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 3. Tăng các chi phí phi tiền tệ,3. Tăng các chi phí phi tiền tệ,10,,31.231.181.204,210.630.560,10.0,,31231181204.0,210630560.0
- Chênh lệch tăng đánh giá lại giá trị các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ) (FVTPL),I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Chênh lệch tăng đánh giá lại giá trị các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ) (FVTPL),- Chênh lệch tăng đánh giá lại giá trị các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ) (FVTPL),11,,31.231.181.204,210.630.560,11.0,,31231181204.0,210630560.0
4. Giảm các doanh thu phi tiền tệ,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 4. Giảm các doanh thu phi tiền tệ,4. Giảm các doanh thu phi tiền tệ,18,,(13.047.367.581),(9.848.604.096),18.0,,-13047367581.0,-9848604096.0
- Chênh lệch tăng đánh giá lại giá trị các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ) (FVTPL),I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Chênh lệch tăng đánh giá lại giá trị các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ) (FVTPL),- Chênh lệch tăng đánh giá lại giá trị các tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua lãi/(lỗ) (FVTPL),19,,(13.047.367.581),(9.848.604.096),19.0,,-13047367581.0,-9848604096.0
