row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025 > Giá trị ghi sổ VND,Tại ngày 31 tháng 12 năm 2025 > Dòng tiền theo hợp đồng VND,Tại ngày 31 tháng 12 năm 2025 > Trong vòng 1 năm VND,Tại ngày 31 tháng 12 năm 2025 > Trong vòng 2-5 năm VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Giá trị ghi sổ VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Dòng tiền theo hợp đồng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Trong vòng 1 năm VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Trong vòng 2-5 năm VND
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),17.730.048.954.174,18.041.627.319.440,18.041.627.319.440,-,17730048954174.0,18041627319440.0,18041627319440.0,
Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,43.904.051.447,43.904.051.447,43.904.051.447,-,43904051447.0,43904051447.0,43904051447.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,12.460.795.794,12.460.795.794,12.460.795.794,-,12460795794.0,12460795794.0,12460795794.0,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,292.859.664.996,292.859.664.996,292.859.664.996,-,292859664996.0,292859664996.0,292859664996.0,
"Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",9.649.593.267,9.649.593.267,9.649.593.267,-,9649593267.0,9649593267.0,9649593267.0,
Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),1.561.581.556.689,1.779.392.010.694,110.211.300.000,1.669.180.710.694,1561581556689.0,1779392010694.0,110211300000.0,1669180710694.0
,,,19.650.504.616.367,20.179.893.435.638,18.510.712.724.944,1.669.180.710.694,19650504616367.0,20179893435638.0,18510712724944.0,1669180710694.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,
,,,Giá trị ghi sổ VND,Dòng tiền theo hợp đồng VND,Trong vòng 1 năm VND,Trong vòng 2-5 năm VND,,,,
Vay ngắn hạn (*),Tại ngày 31 tháng 12 năm 2024 > Vay ngắn hạn (*),Vay ngắn hạn (*),13.069.703.217.309,13.434.655.350.989,13.434.655.350.989,-,13069703217309.0,13434655350989.0,13434655350989.0,
Phải trả hoạt động giao dịch chứng khoán,Tại ngày 31 tháng 12 năm 2024 > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,21.551.998.147,21.551.998.147,21.551.998.147,-,21551998147.0,21551998147.0,21551998147.0,
Phải trả người bán ngắn hạn,Tại ngày 31 tháng 12 năm 2024 > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,11.493.708.210,11.493.708.210,11.493.708.210,-,11493708210.0,11493708210.0,11493708210.0,
Chi phí phải trả ngắn hạn,Tại ngày 31 tháng 12 năm 2024 > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,165.344.593.730,165.344.593.730,165.344.593.730,-,165344593730.0,165344593730.0,165344593730.0,
"Các khoản phải trả, phải nộp khác ngắn hạn","Tại ngày 31 tháng 12 năm 2024 > Các khoản phải trả, phải nộp khác ngắn hạn","Các khoản phải trả, phải nộp khác ngắn hạn",14.530.406.797,14.530.406.797,14.530.406.797,-,14530406797.0,14530406797.0,14530406797.0,
Trái phiếu phát hành dài hạn (*),Tại ngày 31 tháng 12 năm 2024 > Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),1.061.355.556.681,1.286.539.909.563,74.516.400.000,1.212.023.509.563,1061355556681.0,1286539909563.0,74516400000.0,1212023509563.0
,,,14.343.979.480.874,14.934.115.967.436,13.722.092.457.873,1.212.023.509.563,14343979480874.0,14934115967436.0,13722092457873.0,1212023509563.0
