row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,120.136.170.964,29.636.595.344,1.101.661.600,150.874.427.908,120136170964.0,29636595344.0,1101661600.0,150874427908.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.390.386.113,-,1.390.386.113,,1390386113.0,,1390386113.0
Chuyển từbất động sản đầu tư,Nguyên giá > Chuyển từbất động sản đầu tư,Chuyển từbất động sản đầu tư,3.317.787.041,-,-,3.317.787.041,3317787041.0,,,3317787041.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,123.453.958.005,31.026.981.457,1.101.661.600,155.582.601.062,123453958005.0,31026981457.0,1101661600.0,155582601062.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.098.518.833,24.217.569.748,718.078.846,55.034.167.427,30098518833.0,24217569748.0,718078846.0,55034167427.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.432.645.749,1.532.509.113,383.582.754,4.348.737.616,2432645749.0,1532509113.0,383582754.0,4348737616.0
Chuyển từbất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từbất động sản đầu tư,Chuyển từbất động sản đầu tư,628.107.212,-,-,628.107.212,628107212.0,,,628107212.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,33.159.271.794,25.750.078.861,1.101.661.600,60.011.012.255,33159271794.0,25750078861.0,1101661600.0,60011012255.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,90.037.652.131,5.419.025.596,383.582.754,95.840.260.481,90037652131.0,5419025596.0,383582754.0,95840260481.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,90.294.686.211,5.276.902.596,-,95.571.588.807,90294686211.0,5276902596.0,,95571588807.0
