row_label_raw,row_label_full,Bất động sản đầu tư,Bất động sản đầu tư_1,Bất động sản đầu tư_2,Bất động sản đầu tư_3,Bất động sản đầu tư_4,numeric__Bất động sản đầu tư_1,numeric__Bất động sản đầu tư_2,numeric__Bất động sản đầu tư_3,numeric__Bất động sản đầu tư_4
Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,,,,
,,,Hạ tầng khu công nghiệp VND,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất,Tổng cộng VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,211.082.890.880,276.254.539.458,6.851.895.937,494.189.326.275,211082890880.0,276254539458.0,6851895937.0,494189326275.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,9.182.806.061,-,9.182.806.061,,9182806061.0,,9182806061.0
Chuyển sang tài sản cố định vô hình,Nguyên giá > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,(3.317.787.041),(3.317.787.041),,,-3317787041.0,-3317787041.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,211.082.890.880,285.437.345.519,3.534.108.896,500.054.345.295,211082890880.0,285437345519.0,3534108896.0,500054345295.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.578.675.783,73.221.104.466,1.209.774.578,99.009.554.827,24578675783.0,73221104466.0,1209774578.0,99009554827.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.890.912.948,10.470.717.755,578.288.689,16.939.919.392,5890912948.0,10470717755.0,578288689.0,16939919392.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,2.001.531.139,-,2.001.531.139,,2001531139.0,,2001531139.0
Chuyển sang tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,(628.107.212),(628.107.212),,,-628107212.0,-628107212.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,30.469.588.731,85.693.353.360,1.159.956.055,117.322.898.146,30469588731.0,85693353360.0,1159956055.0,117322898146.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,186.504.215.097,203.033.434.992,5.642.121.359,395.179.771.448,186504215097.0,203033434992.0,5642121359.0,395179771448.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,180.613.302.149,199.743.992.159,2.374.152.841,382.731.447.149,180613302149.0,199743992159.0,2374152841.0,382731447149.0
